Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"2,048","32,768",0,4,0.02,196.02
"4,096","65,536",0,4,0.02,371.41
"8,192","131,072",0,4,0.02,742.45
"16,384","262,144",0,4,0.02,1481.07
"32,768","524,288",0,4,0.02,2959.75
"65,536","1,048,576",0,4,0.02,5888.44
"131,072","2,097,152",0,4,0.02,11611.46
"262,144","4,194,304",0,4,0.03,22872.46
"524,288","8,388,608",0,4,0.08,39340.64
"1,048,576","16,777,216",0,4,0.18,43292.38
"2,097,152","33,554,432",0,4,0.40,45970.34
"4,194,304","67,108,864",0,4,0.83,47447.48
"8,388,608","134,217,728",0,4,1.69,48214.60
"16,777,216","268,435,456",0,4,3.39,48580.47
"33,554,432","536,870,912",0,4,6.82,48800.45
"67,108,864","1,073,741,824",0,4,13.66,48911.09
"134,217,728","2,147,483,648",0,4,27.36,48967.45
