Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,62.82,21321.65
"134,217,728","2,147,483,648",0,1,58.65,22827.92
"134,217,728","2,147,483,648",0,2,58.65,22822.99
"134,217,728","2,147,483,648",0,3,62.84,21314.43
"134,217,728","2,147,483,648",0,4,46.71,28683.17
"134,217,728","2,147,483,648",0,5,46.72,28684.64
"134,217,728","2,147,483,648",0,6,46.71,28681.58
"134,217,728","2,147,483,648",0,7,46.71,28682.90
"134,217,728","2,147,483,648",0,8,62.86,21319.35
"134,217,728","2,147,483,648",0,9,58.63,22824.66
"134,217,728","2,147,483,648",0,10,58.69,22827.80
"134,217,728","2,147,483,648",0,11,62.86,21319.49
"134,217,728","2,147,483,648",0,12,58.72,22824.56
"134,217,728","2,147,483,648",0,13,62.85,21319.14
"134,217,728","2,147,483,648",0,14,62.86,21318.71
"134,217,728","2,147,483,648",0,15,58.68,22825.61
"2,048","32,768",0,6,0.02,216.70
"4,096","65,536",0,6,0.02,431.07
"8,192","131,072",0,6,0.02,851.31
"16,384","262,144",0,6,0.02,1711.90
"32,768","524,288",0,6,0.02,3445.05
"65,536","1,048,576",0,6,0.02,6821.34
"131,072","2,097,152",0,6,0.03,13543.92
"262,144","4,194,304",0,6,0.05,22257.61
"524,288","8,388,608",0,6,0.15,24878.99
"1,048,576","16,777,216",0,6,0.33,26412.48
"2,097,152","33,554,432",0,6,0.70,27746.73
"4,194,304","67,108,864",0,6,1.43,28163.56
"8,388,608","134,217,728",0,6,2.88,28398.95
"16,777,216","268,435,456",0,6,5.79,28540.74
"33,554,432","536,870,912",0,6,11.65,28630.73
"67,108,864","1,073,741,824",0,6,23.33,28667.31
"134,217,728","2,147,483,648",0,6,46.71,28686.29
