Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,54.69,24489.72
"134,217,728","2,147,483,648",1,0,54.73,24484.69
"134,217,728","2,147,483,648",2,0,54.68,24506.96
"134,217,728","2,147,483,648",3,0,54.69,24535.05
"134,217,728","2,147,483,648",4,0,54.73,24501.22
"134,217,728","2,147,483,648",5,0,54.69,24516.08
"134,217,728","2,147,483,648",6,0,54.69,24503.68
"134,217,728","2,147,483,648",7,0,54.69,24486.84
"2,048","32,768",0,0,0.03,129.08
"4,096","65,536",0,0,0.03,252.46
"8,192","131,072",0,0,0.03,773.15
"16,384","262,144",0,0,0.03,965.87
"32,768","524,288",0,0,0.03,1470.05
"65,536","1,048,576",0,0,0.03,4720.31
"131,072","2,097,152",0,0,0.04,5701.97
"262,144","4,194,304",0,0,0.04,15874.61
"524,288","8,388,608",0,0,0.08,19473.47
"1,048,576","16,777,216",0,0,0.33,21516.93
"2,097,152","33,554,432",0,0,0.75,26086.32
"4,194,304","67,108,864",0,0,1.60,24111.70
"8,388,608","134,217,728",0,0,3.35,24330.94
"16,777,216","268,435,456",0,0,6.75,24500.82
"33,554,432","536,870,912",0,0,13.61,24450.78
"67,108,864","1,073,741,824",0,0,27.29,24451.09
"134,217,728","2,147,483,648",0,0,54.69,24506.82
