Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,7,48.68,27521.27
"134,217,728","2,147,483,648",1,7,48.68,27526.97
"134,217,728","2,147,483,648",2,7,48.69,27524.65
"134,217,728","2,147,483,648",3,7,48.69,27528.49
"134,217,728","2,147,483,648",4,7,48.69,27526.21
"134,217,728","2,147,483,648",5,7,48.69,27528.31
"134,217,728","2,147,483,648",6,7,48.69,27528.41
"134,217,728","2,147,483,648",7,7,48.69,27525.33
"134,217,728","2,147,483,648",0,0,48.42,27670.15
"134,217,728","2,147,483,648",0,1,48.46,27672.29
"134,217,728","2,147,483,648",0,2,48.44,27672.69
"134,217,728","2,147,483,648",0,3,48.43,27671.53
"134,217,728","2,147,483,648",0,4,48.42,27674.43
"134,217,728","2,147,483,648",0,5,48.42,27676.57
"134,217,728","2,147,483,648",0,6,48.69,27526.57
"134,217,728","2,147,483,648",0,7,48.69,27526.66
