Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,62.90,21323.17
"134,217,728","2,147,483,648",1,0,57.21,23433.06
"134,217,728","2,147,483,648",2,0,57.22,23431.92
"134,217,728","2,147,483,648",3,0,62.89,21321.35
"134,217,728","2,147,483,648",4,0,57.22,23430.36
"134,217,728","2,147,483,648",5,0,62.90,21321.60
"134,217,728","2,147,483,648",6,0,62.88,21320.40
"134,217,728","2,147,483,648",7,0,57.22,23432.35
"134,217,728","2,147,483,648",8,0,62.89,21321.22
"134,217,728","2,147,483,648",9,0,57.22,23433.89
"134,217,728","2,147,483,648",10,0,57.22,23428.90
"134,217,728","2,147,483,648",11,0,62.89,21318.73
"134,217,728","2,147,483,648",12,0,46.36,28914.65
"134,217,728","2,147,483,648",13,0,46.36,28911.38
"134,217,728","2,147,483,648",14,0,46.36,28912.41
"134,217,728","2,147,483,648",15,0,46.37,28912.13
"2,048","32,768",15,0,0.02,259.02
"4,096","65,536",15,0,0.02,500.66
"8,192","131,072",15,0,0.02,1022.53
"16,384","262,144",15,0,0.02,2034.45
"32,768","524,288",15,0,0.02,4021.68
"65,536","1,048,576",15,0,0.03,7992.82
"131,072","2,097,152",15,0,0.03,15932.78
"262,144","4,194,304",15,0,0.06,22640.78
"524,288","8,388,608",15,0,0.16,25413.76
"1,048,576","16,777,216",15,0,0.35,26884.69
"2,097,152","33,554,432",15,0,0.70,27900.60
"4,194,304","67,108,864",15,0,1.43,28394.32
"8,388,608","134,217,728",15,0,2.88,28661.44
"16,777,216","268,435,456",15,0,5.78,28802.17
"33,554,432","536,870,912",15,0,11.58,28861.69
"67,108,864","1,073,741,824",15,0,23.17,28898.01
"134,217,728","2,147,483,648",15,0,46.36,28915.72
