Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"2,048","32,768",15,7,0.02,186.22
"4,096","65,536",15,7,0.02,380.64
"8,192","131,072",15,7,0.02,759.87
"16,384","262,144",15,7,0.02,1505.36
"32,768","524,288",15,7,0.02,3009.92
"65,536","1,048,576",15,7,0.03,5991.92
"131,072","2,097,152",15,7,0.03,11780.19
"262,144","4,194,304",15,7,0.05,20974.75
"524,288","8,388,608",15,7,0.15,24501.33
"1,048,576","16,777,216",15,7,0.34,26502.06
"2,097,152","33,554,432",15,7,0.70,27566.30
"4,194,304","67,108,864",15,7,1.42,28142.58
"8,388,608","134,217,728",15,7,2.90,28393.64
"16,777,216","268,435,456",15,7,5.81,28544.30
"33,554,432","536,870,912",15,7,11.66,28617.29
"67,108,864","1,073,741,824",15,7,23.44,28410.72
"134,217,728","2,147,483,648",15,7,47.05,28275.85
