Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,62.81,21335.93
"134,217,728","2,147,483,648",1,0,57.14,23453.94
"134,217,728","2,147,483,648",2,0,57.13,23458.82
"134,217,728","2,147,483,648",3,0,62.81,21330.01
"134,217,728","2,147,483,648",4,0,57.11,23445.78
"134,217,728","2,147,483,648",5,0,62.82,21336.52
"134,217,728","2,147,483,648",6,0,62.81,21357.24
"134,217,728","2,147,483,648",7,0,57.14,23446.67
"134,217,728","2,147,483,648",8,0,62.81,21342.34
"134,217,728","2,147,483,648",9,0,57.13,23437.67
"134,217,728","2,147,483,648",10,0,57.14,23456.65
"134,217,728","2,147,483,648",11,0,62.81,21339.10
"134,217,728","2,147,483,648",12,0,66.42,19877.77
"134,217,728","2,147,483,648",13,0,65.93,19834.39
"134,217,728","2,147,483,648",14,0,67.10,19882.69
"134,217,728","2,147,483,648",15,0,72.07,19805.54
"2,048","32,768",2,0,0.03,191.65
"4,096","65,536",2,0,0.03,287.50
"8,192","131,072",2,0,0.03,767.89
"16,384","262,144",2,0,0.03,799.03
"32,768","524,288",2,0,0.04,2549.87
"65,536","1,048,576",2,0,0.04,3530.37
"131,072","2,097,152",2,0,0.04,6276.05
"262,144","4,194,304",2,0,0.05,20870.75
"524,288","8,388,608",2,0,0.07,20225.39
"1,048,576","16,777,216",2,0,0.35,21390.89
"2,097,152","33,554,432",2,0,0.80,23297.66
"4,194,304","67,108,864",2,0,1.69,24324.57
"8,388,608","134,217,728",2,0,3.48,23378.32
"16,777,216","268,435,456",2,0,7.05,23628.05
"33,554,432","536,870,912",2,0,14.21,23419.31
"67,108,864","1,073,741,824",2,0,28.52,23474.30
"134,217,728","2,147,483,648",2,0,57.14,23472.29
