Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,7,62.86,19963.24
"134,217,728","2,147,483,648",1,7,57.20,23426.24
"134,217,728","2,147,483,648",2,7,57.20,23426.84
"134,217,728","2,147,483,648",3,7,62.87,21318.32
"134,217,728","2,147,483,648",4,7,57.19,23428.55
"134,217,728","2,147,483,648",5,7,62.87,19989.97
"134,217,728","2,147,483,648",6,7,62.87,21318.29
"134,217,728","2,147,483,648",7,7,57.21,23428.74
"134,217,728","2,147,483,648",8,7,62.88,21317.80
"134,217,728","2,147,483,648",9,7,57.19,23429.03
"134,217,728","2,147,483,648",10,7,57.19,23430.83
"134,217,728","2,147,483,648",11,7,62.88,21317.28
"134,217,728","2,147,483,648",12,7,49.53,26927.22
"134,217,728","2,147,483,648",13,7,49.57,26933.33
"134,217,728","2,147,483,648",14,7,49.55,26923.98
"134,217,728","2,147,483,648",15,7,49.59,26948.25
"134,217,728","2,147,483,648",15,0,48.87,27234.60
"134,217,728","2,147,483,648",15,1,49.17,27216.30
"134,217,728","2,147,483,648",15,2,49.19,27212.34
"134,217,728","2,147,483,648",15,3,49.84,27207.04
"134,217,728","2,147,483,648",15,4,49.23,27179.73
"134,217,728","2,147,483,648",15,5,48.67,27219.37
"134,217,728","2,147,483,648",15,6,49.62,26942.26
"134,217,728","2,147,483,648",15,7,49.54,26926.76
