Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,54.74,24498.34
"134,217,728","2,147,483,648",0,1,54.74,24495.31
"134,217,728","2,147,483,648",0,2,54.75,24497.10
"134,217,728","2,147,483,648",0,3,54.74,24481.20
"134,217,728","2,147,483,648",0,4,54.73,24495.34
"134,217,728","2,147,483,648",0,5,54.74,24495.64
"134,217,728","2,147,483,648",0,6,54.74,24495.90
"134,217,728","2,147,483,648",0,7,54.74,24485.14
"2,048","32,768",0,0,0.02,275.63
"4,096","65,536",0,0,0.02,528.19
"8,192","131,072",0,0,0.02,1051.23
"16,384","262,144",0,0,0.02,2023.28
"32,768","524,288",0,0,0.02,3890.43
"65,536","1,048,576",0,0,0.03,8124.08
"131,072","2,097,152",0,0,0.03,16216.00
"262,144","4,194,304",0,0,0.07,20419.25
"524,288","8,388,608",0,0,0.19,22044.91
"1,048,576","16,777,216",0,0,0.40,23237.08
"2,097,152","33,554,432",0,0,0.82,23900.71
"4,194,304","67,108,864",0,0,1.69,24163.36
"8,388,608","134,217,728",0,0,3.40,24344.22
"16,777,216","268,435,456",0,0,6.82,24408.30
"33,554,432","536,870,912",0,0,13.67,24456.58
"67,108,864","1,073,741,824",0,0,27.36,24485.03
"134,217,728","2,147,483,648",0,0,54.73,24496.14
