Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,0,63.32,21115.32
"134,217,728","2,147,483,648",0,1,58.73,22616.25
"134,217,728","2,147,483,648",0,2,58.75,22549.50
"134,217,728","2,147,483,648",0,3,63.30,21199.11
"134,217,728","2,147,483,648",0,4,54.75,24497.23
"134,217,728","2,147,483,648",0,5,54.74,24495.94
"134,217,728","2,147,483,648",0,6,54.75,24496.62
"134,217,728","2,147,483,648",0,7,54.74,24496.53
"134,217,728","2,147,483,648",0,8,63.32,21189.85
"134,217,728","2,147,483,648",0,9,58.74,22655.58
"134,217,728","2,147,483,648",0,10,58.74,22716.60
"134,217,728","2,147,483,648",0,11,63.31,21197.24
"134,217,728","2,147,483,648",0,12,58.75,22597.88
"134,217,728","2,147,483,648",0,13,63.28,21195.90
"134,217,728","2,147,483,648",0,14,63.26,21188.03
"134,217,728","2,147,483,648",0,15,58.86,22711.31
"2,048","32,768",0,4,0.02,238.61
"4,096","65,536",0,4,0.02,485.34
"8,192","131,072",0,4,0.02,941.53
"16,384","262,144",0,4,0.02,1922.75
"32,768","524,288",0,4,0.02,3756.02
"65,536","1,048,576",0,4,0.03,7506.86
"131,072","2,097,152",0,4,0.03,14645.73
"262,144","4,194,304",0,4,0.08,19733.07
"524,288","8,388,608",0,4,0.19,22014.06
"1,048,576","16,777,216",0,4,0.40,23040.64
"2,097,152","33,554,432",0,4,0.83,23844.16
"4,194,304","67,108,864",0,4,1.69,24155.24
"8,388,608","134,217,728",0,4,3.40,24193.92
"16,777,216","268,435,456",0,4,6.83,24418.50
"33,554,432","536,870,912",0,4,13.67,24463.27
"67,108,864","1,073,741,824",0,4,27.36,24484.79
"134,217,728","2,147,483,648",0,4,54.75,24496.51
