Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",0,7,54.72,24491.40
"134,217,728","2,147,483,648",1,7,54.72,24490.74
"134,217,728","2,147,483,648",2,7,54.72,24491.14
"134,217,728","2,147,483,648",3,7,54.72,24493.89
"134,217,728","2,147,483,648",4,7,54.71,24490.40
"134,217,728","2,147,483,648",5,7,54.73,24493.04
"134,217,728","2,147,483,648",6,7,54.72,24492.51
"134,217,728","2,147,483,648",7,7,54.71,24494.84
"134,217,728","2,147,483,648",8,7,56.93,23539.90
"134,217,728","2,147,483,648",9,7,56.93,23538.21
"134,217,728","2,147,483,648",10,7,56.93,23541.97
"134,217,728","2,147,483,648",11,7,56.94,21836.20
"134,217,728","2,147,483,648",12,7,56.94,23538.32
"134,217,728","2,147,483,648",13,7,56.92,23547.92
"134,217,728","2,147,483,648",14,7,56.91,21913.73
"134,217,728","2,147,483,648",15,7,56.91,23549.99
