Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",4,0,62.9,21301.88
"134,217,728","2,147,483,648",4,1,58.74,22806.47
"134,217,728","2,147,483,648",4,2,58.74,22771.85
"134,217,728","2,147,483,648",4,3,62.93,21304.81
"134,217,728","2,147,483,648",4,4,46.74,28680.66
"134,217,728","2,147,483,648",4,5,46.73,28683.25
"134,217,728","2,147,483,648",4,6,46.73,28681.84
"134,217,728","2,147,483,648",4,7,46.74,28681.1
"134,217,728","2,147,483,648",4,8,62.9,21298.85
"134,217,728","2,147,483,648",4,9,58.75,22612.52
"134,217,728","2,147,483,648",4,10,58.74,22765.7
"134,217,728","2,147,483,648",4,11,62.9,21304.81
"134,217,728","2,147,483,648",4,12,58.74,22806.75
"134,217,728","2,147,483,648",4,13,62.9,21284.54
"134,217,728","2,147,483,648",4,14,62.9,21294.32
"134,217,728","2,147,483,648",4,15,58.74,22770.65
