Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",4,0,54.68,24490.73
"134,217,728","2,147,483,648",4,1,54.69,24506.81
"134,217,728","2,147,483,648",4,2,54.68,24468.7
"134,217,728","2,147,483,648",4,3,54.68,24514.4
"134,217,728","2,147,483,648",4,4,54.68,24515.3
"134,217,728","2,147,483,648",4,5,54.69,24467.47
"134,217,728","2,147,483,648",4,6,54.69,24482.49
"134,217,728","2,147,483,648",4,7,54.68,24494.96
"134,217,728","2,147,483,648",4,8,105.99,12649.06
"134,217,728","2,147,483,648",4,9,105.85,12664.4
"134,217,728","2,147,483,648",4,10,106,12645.67
"134,217,728","2,147,483,648",4,11,106.21,12609.33
"134,217,728","2,147,483,648",4,12,105.84,12666.78
"134,217,728","2,147,483,648",4,13,105.85,12667.23
"134,217,728","2,147,483,648",4,14,106.01,12646.66
"134,217,728","2,147,483,648",4,15,0.51,12245.73
