Message Size (bytes),Total Transport (bytes),Target Affinity,Initiator Affinity,Avg Latency(ms),Bandwidth(MB/s)
"134,217,728","2,147,483,648",7,7,58.78,22790.95
"134,217,728","2,147,483,648",0,7,49.9,26835.56
"134,217,728","2,147,483,648",1,7,50.04,26783.6
"134,217,728","2,147,483,648",2,7,51.19,26164.79
"134,217,728","2,147,483,648",3,7,51.29,26112.61
"134,217,728","2,147,483,648",4,7,48.77,27412.99
"134,217,728","2,147,483,648",5,7,48.69,27491.33
"134,217,728","2,147,483,648",6,7,57.2,23437.03
"134,217,728","2,147,483,648",7,7,58.25,23011.38
"134,217,728","2,147,483,648",0,7,49.93,26821.45
"134,217,728","2,147,483,648",1,7,50.05,26779.6
"134,217,728","2,147,483,648",2,7,51.16,26193.63
"134,217,728","2,147,483,648",3,7,51.36,26111.74
"134,217,728","2,147,483,648",4,7,48.75,27416
"134,217,728","2,147,483,648",5,7,48.69,27491.31
"134,217,728","2,147,483,648",6,7,57.22,21740.47
"134,217,728","2,147,483,648",7,7,58.26,23000.13
