target,batch,length,active_tokens,peak_allocated_bytes,peak_reserved_bytes,allocated_bytes_per_token
kda,1,128,128,33554432,41943040,262144.0
kda,1,256,256,69206016,83886080,270336.0
kda,1,512,512,138412032,134217728,270336.0
kda,1,1024,1024,276824064,272629760,270336.0
kda,1,2048,2048,553648128,553648128,270336.0
kda,1,4096,4096,1107296256,1132462080,270336.0
kda,1,8192,8192,2214592512,2264924160,270336.0
kda,1,16384,16384,4429185024,4529848320,270336.0
kda,4,4096,16384,4429185024,4529848320,270336.0
kda,16,1024,16384,4429185024,4529848320,270336.0
kda,32,512,16384,4429185024,4529848320,270336.0
mla,1,128,128,3145728,0,24576.0
mla,1,256,256,6291456,0,24576.0
mla,1,512,512,12582912,12582912,24576.0
mla,1,1024,1024,25165824,25165824,24576.0
mla,1,2048,2048,50331648,50331648,24576.0
mla,1,4096,4096,100663296,100663296,24576.0
mla,1,8192,8192,201326592,201326592,24576.0
mla,1,16384,16384,402653184,402653184,24576.0
mla,4,4096,16384,402653184,402653184,24576.0
mla,16,1024,16384,402653184,402653184,24576.0
mla,32,512,16384,402653184,402653184,24576.0
