component,total_context,chunk_tokens,cached_prefix,effective_hit_rate,remaining_chunks,remaining_prefill_ms,speedup_vs_no_hit,latency_reduction
KDA recurrence,1048576,16384,0,0.0,64,299.02115201950073,1.0,0.0
KDA recurrence,1048576,16384,524288,0.5,32,149.45670413970947,2.0007209026901935,0.5001801607333698
KDA recurrence,1048576,16384,786432,0.75,16,74.71929597854614,4.001926786159194,0.7501203661549892
KDA recurrence,1048576,16384,917504,0.875,8,37.35414409637451,8.005032888667442,0.8750785894439386
KDA recurrence,1048576,16384,983040,0.9375,4,18.677696228027344,16.009530745595708,0.9375372073116444
KDA recurrence,1048576,16384,1015808,0.96875,2,9.337920188903809,32.02224328012844,0.9687717068647543
KDA recurrence,1048576,16384,1032192,0.984375,1,4.671679973602295,64.00719948907971,0.98437675749006
MLA cached attention,1048576,16384,0,0.0,64,22130.71113395691,1.0,0.0
MLA cached attention,1048576,16384,524288,0.5,32,16550.456787109375,1.3371661833040052,0.25214979821797534
MLA cached attention,1048576,16384,786432,0.75,16,9646.638549804688,2.294137073727613,0.5641062552661003
MLA cached attention,1048576,16384,917504,0.875,8,5166.1629638671875,4.283781074801931,0.7665613665735154
MLA cached attention,1048576,16384,983040,0.9375,4,2672.8057250976562,8.279955002396711,0.8792263967967773
MLA cached attention,1048576,16384,1015808,0.96875,2,1358.4819946289062,16.2907651492299,0.9386155290534482
MLA cached attention,1048576,16384,1032192,0.984375,1,684.9098510742188,32.311859873597825,0.9690516112686814
