mode,logical_length,requested_hit_rate,effective_hit_rate,cached_tokens_per_seq,fresh_tokens_per_seq,batch_size,p50_ms,p90_ms,p99_ms,fresh_tokens_per_s,logical_tokens_per_s
prefill_core,1024,0.0,0.0,0,1024,1,0.4986400008201599,0.5098304271697999,0.5238588845729828,2053585.7498711122,2053585.7498711122
prefill_core,2048,0.0,0.0,0,2048,1,0.7432159781455994,0.7481376171112061,0.7617139238119125,2755591.9950886574,2755591.9950886574
prefill_core,4096,0.0,0.0,0,4096,1,1.2921119928359985,1.3013151764869688,1.3040915417671204,3170003.8562523313,3170003.8562523313
prefill_core,8192,0.0,0.0,0,8192,1,2.410863995552063,2.41387197971344,2.4176161074638367,3397951.943831703,3397951.943831703
prefill_core,16384,0.0,0.0,0,16384,1,4.679296016693115,4.685654592514038,4.687281470298767,3501381.3918912243,3501381.3918912243
decode_core,1,1.0,1.0,0,1,1,0.08828800171613693,0.09359039887785912,0.1074432024359703,11326.56737679027,11326.56737679027
decode_core,1,1.0,1.0,0,1,8,0.08887999877333641,0.09111680015921593,0.0941206382215023,90009.00214233535,90009.00214233535
decode_core,1,1.0,1.0,0,1,16,0.09628799930214882,0.09756800308823586,0.10025791741907597,166168.16338443678,166168.16338443678
decode_core,1,1.0,1.0,0,1,32,0.11680000275373459,0.1179615966975689,0.1196291173249483,273972.5962804126,273972.5962804126
decode_core,1,1.0,1.0,0,1,64,0.15132800489664078,0.15403840243816375,0.16129024267196654,422922.38005591184,422922.38005591184
decode_core,1,1.0,1.0,0,1,128,0.2779040038585663,0.2790400058031082,0.28083999872207643,460590.7011873893,460590.7011873893
decode_core,1,1.0,1.0,0,1,256,0.5353599786758423,0.5377056062221527,0.5384659159183502,478182.9240078603,478182.9240078603
