rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
0,0,2,1,2,all_reduce,28672,0.05546453396479289,0.05532906850179036,0.05620266596476237
0,0,2,1,2,reduce_scatter,28672,0.05121599833170573,0.04752426544825236,0.051567999521891277
0,0,2,1,2,all_gather,28672,0.04599999984105428,0.04506133397420247,0.047567999362945555
0,0,2,1,2,all_to_all,28672,0.048726399739583336,0.04831253290176392,0.05127360026041667
0,0,2,1,2,rs_ag_pair,28672,0.08688213030497233,0.08494400183359782,0.09192426999409993
0,0,2,8,8,all_reduce,114688,0.0522432009379069,0.050876800219217935,0.052729598681132
0,0,2,8,8,reduce_scatter,114688,0.04579306840896606,0.04561493396759033,0.04746239980061849
0,0,2,8,8,all_gather,114688,0.04306559960047404,0.04239893356959025,0.04432106812795003
0,0,2,8,8,all_to_all,114688,0.05159999926884969,0.05060906807581584,0.05576639970143636
0,0,2,8,8,rs_ag_pair,114688,0.08945919672648112,0.0890069325764974,0.09164053599039713
0,0,2,128,128,all_reduce,1835008,0.05599146684010824,0.05436799923578898,0.2504576047261556
0,0,2,128,128,reduce_scatter,1835008,0.048761598269144696,0.046435201168060304,0.048956799507141116
0,0,2,128,128,all_gather,1835008,0.0452021320660909,0.04490240017573039,0.045491198698679604
0,0,2,128,128,all_to_all,1835008,0.052578131357828774,0.05183146794637044,0.052944000562032065
0,0,2,128,128,rs_ag_pair,1835008,0.09312746524810792,0.09249599774678548,0.09407893021901449
0,0,2,1024,1024,all_reduce,14680064,0.05369280179341634,0.05326186815897624,0.054017066955566406
0,0,2,1024,1024,reduce_scatter,14680064,0.04811199903488159,0.0473632017771403,0.04959893226623535
0,0,2,1024,1024,all_gather,14680064,0.04531306823094686,0.044327465693155925,0.045685335000356035
0,0,2,1024,1024,all_to_all,14680064,0.052265600363413496,0.051113601525624594,0.05436373154322306
0,0,2,1024,1024,rs_ag_pair,14680064,0.0982261339823405,0.09721813201904297,0.10072426795959473
0,0,2,8192,8192,all_reduce,117440512,0.24567893346150715,0.24566399256388347,0.24591892560323078
0,0,2,8192,8192,reduce_scatter,117440512,0.16366292635599772,0.163319460550944,0.16376427014668782
0,0,2,8192,8192,all_gather,117440512,0.15272746086120606,0.1526624043782552,0.1534293333689372
0,0,2,8192,8192,all_to_all,117440512,0.19579946200052897,0.1955850601196289,0.27817707061767577
