rank,tp,dp,phase,batch_per_dp,chunk,ms,dynamic_peak_bytes,state_bytes
0,1,16,prefill,1,1024,2.5509119033813477,881442816,3440640
0,1,16,prefill,1,8192,14.290656089782715,7048445952,3440640
0,1,16,prefill,1,16384,28.56697654724121,14096449536,3440640
0,1,16,decode,1,1,0.6824960112571716,246272,3440640
0,1,16,decode,8,1,0.6708800196647644,1969664,27525120
0,1,16,decode,32,1,0.6112959980964661,8468480,110100480
0,1,16,decode,128,1,0.5560320019721985,31580160,440401920
0,1,16,decode,256,1,0.6502400040626526,63029248,880803840
0,2,8,prefill,1,1024,2.1498239040374756,440721408,1720320
0,2,8,prefill,1,8192,7.877471923828125,3524222976,1720320
0,2,8,prefill,1,16384,15.153663635253906,7048224768,1720320
0,2,8,decode,1,1,0.8459839820861816,125440,1720320
0,2,8,decode,8,1,0.8283200263977051,1002496,13762560
0,2,8,decode,32,1,0.8462079763412476,4074496,55050240
0,2,8,decode,128,1,0.6976640224456787,16101376,220200960
0,2,8,decode,256,1,0.6309760212898254,32071680,440401920
0,4,4,prefill,1,1024,2.3102400302886963,220360704,860160
0,4,4,prefill,1,8192,4.82480001449585,1762111488,860160
0,4,4,prefill,1,16384,8.704895973205566,3524112384,860160
0,4,4,decode,1,1,0.9661440253257751,70144,860160
0,4,4,decode,8,1,0.9882559776306152,559616,6881280
0,4,4,decode,32,1,0.9658560156822205,2238464,27525120
0,4,4,decode,128,1,0.9574400186538696,9478144,110100480
0,4,4,decode,256,1,0.9123839735984802,17973248,220200960
0,8,2,prefill,1,1024,2.5868799686431885,110180352,430080
0,8,2,prefill,1,8192,3.8789761066436768,881055744,430080
0,8,2,prefill,1,16384,5.704895973205566,1762056192,430080
0,8,2,decode,1,1,1.244928002357483,42496,430080
0,8,2,decode,8,1,1.2459520101547241,338432,3440640
0,8,2,decode,32,1,1.121791958808899,1352704,13762560
0,8,2,decode,128,1,1.0321919918060303,5476352,55050240
0,8,2,decode,256,1,1.0342400074005127,10919936,110100480
0,16,1,prefill,1,1024,3.104095935821533,55843840,215040
0,16,1,prefill,1,8192,3.512576103210449,440527872,215040
0,16,1,prefill,1,16384,4.739295959472656,881028096,215040
0,16,1,decode,1,1,1.3363840579986572,28672,215040
0,16,1,decode,8,1,1.4285759925842285,227840,1720320
0,16,1,decode,32,1,1.2145600318908691,910336,6881280
0,16,1,decode,128,1,1.1151360273361206,3772416,27525120
0,16,1,decode,256,1,1.0966720581054688,8331264,55050240
1,1,16,prefill,1,1024,2.536832094192505,881442816,3440640
1,1,16,prefill,1,8192,14.32316780090332,7048445952,3440640
1,1,16,prefill,1,16384,28.574848175048828,14096449536,3440640
1,1,16,decode,1,1,0.6768959760665894,246272,3440640
1,1,16,decode,8,1,0.6389439702033997,1969664,27525120
1,1,16,decode,32,1,0.6512320041656494,8468480,110100480
1,1,16,decode,128,1,0.5550079941749573,31580160,440401920
1,1,16,decode,256,1,0.6509119868278503,63029248,880803840
1,2,8,prefill,1,1024,2.1573119163513184,440721408,1720320
1,2,8,prefill,1,8192,7.87667179107666,3524222976,1720320
1,2,8,prefill,1,16384,15.148768424987793,7048224768,1720320
1,2,8,decode,1,1,0.8449599742889404,125440,1720320
1,2,8,decode,8,1,0.8330559730529785,1002496,13762560
1,2,8,decode,32,1,0.8442239761352539,4074496,55050240
1,2,8,decode,128,1,0.6983680129051208,16101376,220200960
1,2,8,decode,256,1,0.6327040195465088,32071680,440401920
1,4,4,prefill,1,1024,2.3123199939727783,220360704,860160
1,4,4,prefill,1,8192,4.835904121398926,1762111488,860160
1,4,4,prefill,1,16384,8.71014404296875,3524112384,860160
1,4,4,decode,1,1,0.9682239890098572,70144,860160
1,4,4,decode,8,1,0.9919040203094482,559616,6881280
1,4,4,decode,32,1,0.962336003780365,2238464,27525120
1,4,4,decode,128,1,0.9594879746437073,9478144,110100480
1,4,4,decode,256,1,0.9154559969902039,17973248,220200960
1,8,2,prefill,1,1024,2.587455987930298,110180352,430080
1,8,2,prefill,1,8192,3.880415916442871,881055744,430080
1,8,2,prefill,1,16384,5.701280117034912,1762056192,430080
1,8,2,decode,1,1,1.2466559410095215,42496,430080
1,8,2,decode,8,1,1.2485120296478271,338432,3440640
1,8,2,decode,32,1,1.124735951423645,1352704,13762560
1,8,2,decode,128,1,1.0342719554901123,5476352,55050240
1,8,2,decode,256,1,1.0342400074005127,10919936,110100480
1,16,1,prefill,1,1024,3.0979840755462646,55843840,215040
1,16,1,prefill,1,8192,3.505631923675537,440527872,215040
1,16,1,prefill,1,16384,4.737279891967773,881028096,215040
1,16,1,decode,1,1,1.341312050819397,28672,215040
1,16,1,decode,8,1,1.4289599657058716,227840,1720320
1,16,1,decode,32,1,1.216480016708374,910336,6881280
1,16,1,decode,128,1,1.118016004562378,3772416,27525120
1,16,1,decode,256,1,1.1001919507980347,8331264,55050240
2,1,16,prefill,1,1024,3.011104106903076,881442816,3440640
2,1,16,prefill,1,8192,14.51587200164795,7048445952,3440640
2,1,16,prefill,1,16384,28.70639991760254,14096449536,3440640
2,1,16,decode,1,1,0.6797119975090027,246272,3440640
2,1,16,decode,8,1,0.6924480199813843,1969664,27525120
2,1,16,decode,32,1,0.7508800029754639,8468480,110100480
2,1,16,decode,128,1,0.6287680268287659,31580160,440401920
2,1,16,decode,256,1,0.6513599753379822,63029248,880803840
2,2,8,prefill,1,1024,2.5724799633026123,440721408,1720320
2,2,8,prefill,1,8192,8.018336296081543,3524222976,1720320
2,2,8,prefill,1,16384,15.285920143127441,7048224768,1720320
2,2,8,decode,1,1,1.0138239860534668,125440,1720320
2,2,8,decode,8,1,1.0092159509658813,1002496,13762560
2,2,8,decode,32,1,0.9705600142478943,4074496,55050240
2,2,8,decode,128,1,0.8352640271186829,16101376,220200960
2,2,8,decode,256,1,0.7691519856452942,32071680,440401920
2,4,4,prefill,1,1024,2.306112051010132,220360704,860160
2,4,4,prefill,1,8192,4.814527988433838,1762111488,860160
2,4,4,prefill,1,16384,8.689151763916016,3524112384,860160
2,4,4,decode,1,1,0.9543359875679016,70144,860160
2,4,4,decode,8,1,0.9746559858322144,559616,6881280
2,4,4,decode,32,1,0.9467200040817261,2238464,27525120
2,4,4,decode,128,1,0.9410240054130554,9478144,110100480
2,4,4,decode,256,1,0.8915519714355469,17973248,220200960
2,8,2,prefill,1,1024,2.566528081893921,110180352,430080
2,8,2,prefill,1,8192,3.8592960834503174,881055744,430080
2,8,2,prefill,1,16384,5.675680160522461,1762056192,430080
2,8,2,decode,1,1,1.2378560304641724,42496,430080
2,8,2,decode,8,1,1.2245759963989258,338432,3440640
2,8,2,decode,32,1,1.102112054824829,1352704,13762560
2,8,2,decode,128,1,1.0297280550003052,5476352,55050240
2,8,2,decode,256,1,1.0291199684143066,10919936,110100480
2,16,1,prefill,1,1024,3.063904047012329,55843840,215040
2,16,1,prefill,1,8192,3.4833600521087646,440527872,215040
2,16,1,prefill,1,16384,4.712831974029541,881028096,215040
2,16,1,decode,1,1,1.3197439908981323,28672,215040
2,16,1,decode,8,1,1.3973759412765503,227840,1720320
2,16,1,decode,32,1,1.1904959678649902,910336,6881280
2,16,1,decode,128,1,1.0872639417648315,3772416,27525120
2,16,1,decode,256,1,1.0716480016708374,8331264,55050240
3,1,16,prefill,1,1024,2.6285760402679443,881442816,3440640
3,1,16,prefill,1,8192,14.294272422790527,7048445952,3440640
3,1,16,prefill,1,16384,28.599775314331055,14096449536,3440640
3,1,16,decode,1,1,0.6881920099258423,246272,3440640
3,1,16,decode,8,1,0.6152960062026978,1969664,27525120
3,1,16,decode,32,1,0.8240000009536743,8468480,110100480
3,1,16,decode,128,1,0.579584002494812,31580160,440401920
3,1,16,decode,256,1,0.6503999829292297,63029248,880803840
3,2,8,prefill,1,1024,2.5768320560455322,440721408,1720320
3,2,8,prefill,1,8192,8.028223991394043,3524222976,1720320
3,2,8,prefill,1,16384,15.298080444335938,7048224768,1720320
