rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
0,16,16,1,16,balanced,0.19640960693359374,3.499999761581421,6981419008,7168
0,16,16,1,16,hot_rank,0.11319466431935628,55.999996185302734,6981419008,7168
0,16,16,8,128,balanced,0.21488854090372722,1.3125,6981419008,57344
0,16,16,8,128,hot_rank,0.3692778587341309,55.999996185302734,6981419008,57344
0,16,16,128,2048,balanced,2.827159372965495,1.01171875,6981419008,917504
0,16,16,128,2048,hot_rank,1.3678848266601562,55.999996185302734,6981419008,917504
0,16,16,512,8192,balanced,0.5359850565592448,1.0048828125,6981419008,3670016
0,16,16,512,8192,hot_rank,4.676816813151041,55.999996185302734,6981419008,3670016
0,16,16,2048,32768,balanced,1.4791360219319662,1.00146484375,6981419008,14680064
0,16,16,2048,32768,hot_rank,17.771337890625,55.999996185302734,6981419008,14680064
0,16,4,2048,8192,balanced,1.5118804931640626,1.0048828125,6981419008,0
0,16,8,1024,8192,balanced,1.4525951385498046,1.0048828125,6981419008,0
0,8,8,1,8,balanced,0.3995285352071126,6.999999523162842,4171235328,7168
0,8,8,1,8,hot_rank,0.12311893304189046,55.999996185302734,4171235328,7168
0,8,8,8,64,balanced,0.37575041453043617,1.7499998807907104,4171235328,57344
0,8,8,8,64,hot_rank,0.23280426661173503,55.999996185302734,4171235328,57344
0,8,8,128,1024,balanced,0.45550934473673504,1.0390625,4171235328,917504
0,8,8,128,1024,hot_rank,1.0615423838297526,55.999996185302734,4171235328,917504
0,8,8,512,4096,balanced,0.6306965510050456,1.01171875,4171235328,3670016
0,8,8,512,4096,hot_rank,2.4302996317545573,55.999996185302734,4171235328,3670016
0,8,8,2048,16384,balanced,1.5167808532714844,1.00146484375,4171235328,14680064
0,8,8,2048,16384,hot_rank,9.024715169270833,55.999996185302734,4171235328,14680064
0,4,4,1,4,balanced,0.27180372873942055,13.999999046325684,3089104896,7168
0,4,4,1,4,hot_rank,0.1290986696879069,55.999996185302734,3089104896,7168
0,4,4,8,32,balanced,0.7558890660603841,1.7499998807907104,3089104896,57344
0,4,4,8,32,hot_rank,0.18074453671773275,55.999996185302734,3089104896,57344
0,4,4,128,512,balanced,0.8893760045369467,1.09375,3089104896,917504
0,4,4,128,512,hot_rank,0.9084586461385091,55.999996185302734,3089104896,917504
0,4,4,512,2048,balanced,1.0534826914469402,1.01171875,3089104896,3670016
0,4,4,512,2048,hot_rank,1.5006207784016927,55.999996185302734,3089104896,3670016
0,4,4,2048,8192,balanced,1.7153279622395834,1.0048828125,3089104896,14680064
0,4,4,2048,8192,hot_rank,4.722558085123698,55.999996185302734,3089104896,14680064
1,16,16,1,16,balanced,0.19634133974711102,3.499999761581421,6981419008,7168
1,16,16,1,16,hot_rank,0.11306026776631674,55.999996185302734,6981419008,7168
1,16,16,8,128,balanced,0.21478613217671713,1.3125,6981419008,57344
1,16,16,8,128,hot_rank,0.36908801396687824,55.999996185302734,6981419008,57344
1,16,16,128,2048,balanced,2.8271446228027344,1.01171875,6981419008,917504
1,16,16,128,2048,hot_rank,1.3678741455078125,55.999996185302734,6981419008,917504
1,16,16,512,8192,balanced,0.5360874811808268,1.0048828125,6981419008,3670016
1,16,16,512,8192,hot_rank,4.676693216959635,55.999996185302734,6981419008,3670016
1,16,16,2048,32768,balanced,1.479086939493815,1.00146484375,6981419008,14680064
1,16,16,2048,32768,hot_rank,17.7681396484375,55.999996185302734,6981419008,14680064
1,16,4,2048,8192,balanced,1.5116096496582032,1.0048828125,6981419008,0
1,16,8,1024,8192,balanced,1.4525269826253255,1.0048828125,6981419008,0
1,8,8,1,8,balanced,0.39843839009602866,6.999999523162842,4171235328,7168
1,8,8,1,8,hot_rank,0.12301653226216634,55.999996185302734,4171235328,7168
1,8,8,8,64,balanced,0.3757589340209961,1.7499998807907104,4171235328,57344
1,8,8,8,64,hot_rank,0.23278080622355143,55.999996185302734,4171235328,57344
1,8,8,128,1024,balanced,0.4554239908854167,1.0390625,4171235328,917504
1,8,8,128,1024,hot_rank,1.0626389185587566,55.999996185302734,4171235328,917504
1,8,8,512,4096,balanced,0.6306645075480143,1.01171875,4171235328,3670016
1,8,8,512,4096,hot_rank,2.4302955627441407,55.999996185302734,4171235328,3670016
1,8,8,2048,16384,balanced,1.516693369547526,1.00146484375,4171235328,14680064
1,8,8,2048,16384,hot_rank,9.024522908528645,55.999996185302734,4171235328,14680064
1,4,4,1,4,balanced,0.2718015988667806,13.999999046325684,3089104896,7168
1,4,4,1,4,hot_rank,0.12907946904500325,55.999996185302734,3089104896,7168
1,4,4,8,32,balanced,0.7558080037434896,1.7499998807907104,3089104896,57344
1,4,4,8,32,hot_rank,0.18074026107788085,55.999996185302734,3089104896,57344
1,4,4,128,512,balanced,0.8893781026204427,1.09375,3089104896,917504
1,4,4,128,512,hot_rank,0.9084608078002929,55.999996185302734,3089104896,917504
1,4,4,512,2048,balanced,1.0534506479899088,1.01171875,3089104896,3670016
1,4,4,512,2048,hot_rank,1.5004564921061199,55.999996185302734,3089104896,3670016
1,4,4,2048,8192,balanced,1.7173866271972655,1.0048828125,3089104896,14680064
1,4,4,2048,8192,hot_rank,4.722436014811198,55.999996185302734,3089104896,14680064
2,16,16,1,16,balanced,0.1961919943491618,3.499999761581421,6981419008,7168
2,16,16,1,16,hot_rank,0.11305387020111084,55.999996185302734,6981419008,7168
2,16,16,8,128,balanced,0.21477972666422526,1.3125,6981419008,57344
2,16,16,8,128,hot_rank,0.3689621289571126,55.999996185302734,6981419008,57344
2,16,16,128,2048,balanced,2.8208084106445312,1.01171875,6981419008,917504
2,16,16,128,2048,hot_rank,1.3677162170410155,55.999996185302734,6981419008,917504
2,16,16,512,8192,balanced,0.5360511779785156,1.0048828125,6981419008,3670016
2,16,16,512,8192,hot_rank,4.676546223958334,55.999996185302734,6981419008,3670016
2,16,16,2048,32768,balanced,1.4716309865315755,1.00146484375,6981419008,14680064
2,16,16,2048,32768,hot_rank,17.76907755533854,55.999996185302734,6981419008,14680064
2,16,4,2048,8192,balanced,1.5112448374430338,1.0048828125,6981419008,0
2,16,8,1024,8192,balanced,1.4524650573730469,1.0048828125,6981419008,0
2,8,8,1,8,balanced,0.3969770749409994,6.999999523162842,4171235328,7168
2,8,8,1,8,hot_rank,0.12305280367533365,55.999996185302734,4171235328,7168
2,8,8,8,64,balanced,0.37571414311726886,1.7499998807907104,4171235328,57344
2,8,8,8,64,hot_rank,0.23264853159586588,55.999996185302734,4171235328,57344
2,8,8,128,1024,balanced,0.4554688135782878,1.0390625,4171235328,917504
2,8,8,128,1024,hot_rank,1.0623807907104492,55.999996185302734,4171235328,917504
2,8,8,512,4096,balanced,0.6306922912597657,1.01171875,4171235328,3670016
2,8,8,512,4096,hot_rank,2.430278523763021,55.999996185302734,4171235328,3670016
2,8,8,2048,16384,balanced,1.5165419260660806,1.00146484375,4171235328,14680064
2,8,8,2048,16384,hot_rank,9.002950032552084,55.999996185302734,4171235328,14680064
2,4,4,1,4,balanced,0.2718058586120605,13.999999046325684,3089104896,7168
2,4,4,1,4,hot_rank,0.12912426789601644,55.999996185302734,3089104896,7168
2,4,4,8,32,balanced,0.7555967966715494,1.7499998807907104,3089104896,57344
2,4,4,8,32,hot_rank,0.18077866236368814,55.999996185302734,3089104896,57344
2,4,4,128,512,balanced,0.8893141428629557,1.09375,3089104896,917504
2,4,4,128,512,hot_rank,0.908241081237793,55.999996185302734,3089104896,917504
2,4,4,512,2048,balanced,1.0532565434773764,1.01171875,3089104896,3670016
2,4,4,512,2048,hot_rank,1.500375493367513,55.999996185302734,3089104896,3670016
2,4,4,2048,8192,balanced,1.717416508992513,1.0048828125,3089104896,14680064
2,4,4,2048,8192,hot_rank,4.722412618001302,55.999996185302734,3089104896,14680064
3,16,16,1,16,balanced,0.19546666145324706,3.499999761581421,6981419008,7168
3,16,16,1,16,hot_rank,0.11265066464742025,55.999996185302734,6981419008,7168
3,16,16,8,128,balanced,0.2142101287841797,1.3125,6981419008,57344
3,16,16,8,128,hot_rank,0.3685738563537598,55.999996185302734,6981419008,57344
3,16,16,128,2048,balanced,2.7976832071940105,1.01171875,6981419008,917504
3,16,16,128,2048,hot_rank,1.3661844889322916,55.999996185302734,6981419008,917504
3,16,16,512,8192,balanced,0.5362389246622722,1.0048828125,6981419008,3670016
3,16,16,512,8192,hot_rank,4.676029968261719,55.999996185302734,6981419008,3670016
3,16,16,2048,32768,balanced,1.4817642211914062,1.00146484375,6981419008,14680064
3,16,16,2048,32768,hot_rank,17.76683146158854,55.999996185302734,6981419008,14680064
3,16,4,2048,8192,balanced,1.5114026387532553,1.0048828125,6981419008,0
3,16,8,1024,8192,balanced,1.4522752126057943,1.0048828125,6981419008,0
3,8,8,1,8,balanced,0.39699201583862304,6.999999523162842,4171235328,7168
3,8,8,1,8,hot_rank,0.1224618673324585,55.999996185302734,4171235328,7168
3,8,8,8,64,balanced,0.3747733434041341,1.7499998807907104,4171235328,57344
3,8,8,8,64,hot_rank,0.23003946940104167,55.999996185302734,4171235328,57344
3,8,8,128,1024,balanced,0.4529557228088379,1.0390625,4171235328,917504
3,8,8,128,1024,hot_rank,1.0595861434936524,55.999996185302734,4171235328,917504
3,8,8,512,4096,balanced,0.6279530843098958,1.01171875,4171235328,3670016
3,8,8,512,4096,hot_rank,2.429096476236979,55.999996185302734,4171235328,3670016
3,8,8,2048,16384,balanced,1.5151167551676432,1.00146484375,4171235328,14680064
3,8,8,2048,16384,hot_rank,9.02321065266927,55.999996185302734,4171235328,14680064
3,4,4,1,4,balanced,0.2708245277404785,13.999999046325684,3089104896,7168
3,4,4,1,4,hot_rank,0.12842453320821126,55.999996185302734,3089104896,7168
3,4,4,8,32,balanced,0.7548181533813476,1.7499998807907104,3089104896,57344
3,4,4,8,32,hot_rank,0.17993386586507162,55.999996185302734,3089104896,57344
