rank,op,m,n,k,tp,ms,gflops,gbps
0,hbm_copy,0,0,0,1,0.08218208312988282,0,6532.700213397055
0,bf16_kda_projection,1,12288,7168,1,0.03210773269335429,5486.552715584991,0
0,bf16_kda_projection,8,12288,7168,1,0.03199359973271688,44049.00216835726,0
0,bf16_kda_projection,128,12288,7168,1,0.030306132634480794,744026.9128349739,0
0,bf16_kda_projection,1024,12288,7168,1,0.11693440278371176,1542648.0328946188,0
0,bf16_kda_projection,8192,12288,7168,1,0.8426634470621744,1712556.7941592734,0
0,bf16_kda_projection,1,6144,7168,2,0.0234389324982961,3757.8667034602804,0
0,bf16_kda_projection,8,6144,7168,2,0.023137066761652628,30455.16007966383,0
0,bf16_kda_projection,128,6144,7168,2,0.021546665827433267,523249.82632094977,0
0,bf16_kda_projection,1024,6144,7168,2,0.06250453392664591,1443004.331843355,0
0,bf16_kda_projection,8192,6144,7168,2,0.4329962730407715,1666421.9778632077,0
0,bf16_kda_projection,1,3072,7168,4,0.02279040018717448,1932.4009950814311,0
0,bf16_kda_projection,8,3072,7168,4,0.022754132747650146,15483.848139032449,0
0,bf16_kda_projection,128,3072,7168,4,0.02127679983774821,264943.2536371784,0
0,bf16_kda_projection,1024,3072,7168,4,0.030103466908137002,1498071.8581556526,0
0,bf16_kda_projection,8192,3072,7168,4,0.21972266832987467,1641966.4643902688,0
0,bf16_kda_projection,1,1536,7168,8,0.02299840052922567,957.4620622863547,0
0,bf16_kda_projection,8,1536,7168,8,0.023553067445755006,7479.313189490724,0
0,bf16_kda_projection,128,1536,7168,8,0.02422719995180766,116339.16810884695,0
0,bf16_kda_projection,1024,1536,7168,8,0.02183893322944641,1032494.4935312474,0
0,bf16_kda_projection,8192,1536,7168,8,0.12130453586578369,1487072.3930025946,0
0,bf16_kda_projection,1,768,7168,16,0.022836265961329143,482.12996024150266,0
0,bf16_kda_projection,8,768,7168,16,0.023319466908772787,3777.1182482247973,0
0,bf16_kda_projection,128,768,7168,16,0.022823466857274374,61747.24255578322,0
0,bf16_kda_projection,1024,768,7168,16,0.02045546571413676,551162.6725862491,0
0,bf16_kda_projection,8192,768,7168,16,0.0640234669049581,1408769.5899050913,0
1,hbm_copy,0,0,0,1,0.08212384223937988,0,6537.333097921722
1,bf16_kda_projection,1,12288,7168,1,0.031923200686772665,5518.267724106749,0
1,bf16_kda_projection,8,12288,7168,1,0.03192960023880005,44137.293716802335,0
1,bf16_kda_projection,128,12288,7168,1,0.030202666918436687,746575.7366689899,0
1,bf16_kda_projection,1024,12288,7168,1,0.11177386442820231,1613871.251162406,0
1,bf16_kda_projection,8192,12288,7168,1,0.8185930887858073,1762913.7494875714,0
1,bf16_kda_projection,1,6144,7168,2,0.023890133698781332,3686.89372401851,0
1,bf16_kda_projection,8,6144,7168,2,0.022874667247136434,30804.516821472484,0
1,bf16_kda_projection,128,6144,7168,2,0.02098133365313212,537348.5469698424,0
1,bf16_kda_projection,1024,6144,7168,2,0.05796693166097005,1555961.4875515157,0
1,bf16_kda_projection,8192,6144,7168,2,0.41280854543050133,1747915.6226659988,0
1,bf16_kda_projection,1,3072,7168,4,0.023241599400838215,1894.8864594237725,0
1,bf16_kda_projection,8,3072,7168,4,0.02295680046081543,15347.153302193467,0
1,bf16_kda_projection,128,3072,7168,4,0.020253866910934448,278324.3615053418,0
1,bf16_kda_projection,1024,3072,7168,4,0.028686932722727456,1572045.25990579,0
1,bf16_kda_projection,8192,3072,7168,4,0.2114133358001709,1706501.8698962715,0
1,bf16_kda_projection,1,1536,7168,8,0.023244800170262654,947.3127683915549,0
1,bf16_kda_projection,8,1536,7168,8,0.02235520084698995,7880.079861761539,0
1,bf16_kda_projection,128,1536,7168,8,0.023021866877873737,122430.22266404136,0
1,bf16_kda_projection,1024,1536,7168,8,0.022010666131973267,1024438.7047989132,0
1,bf16_kda_projection,8192,1536,7168,8,0.11569920380910238,1559117.2669574441,0
1,bf16_kda_projection,1,768,7168,16,0.021910399198532104,502.50330449194286,0
1,bf16_kda_projection,8,768,7168,16,0.02291733423868815,3843.395705740772,0
1,bf16_kda_projection,128,768,7168,16,0.022946133216222128,61417.15167083938,0
1,bf16_kda_projection,1024,768,7168,16,0.02027946710586548,555946.0262513066,0
1,bf16_kda_projection,8192,768,7168,16,0.05957440137863159,1513977.6670647555,0
2,hbm_copy,0,0,0,1,0.08235103607177735,0,6519.297602182711
2,bf16_kda_projection,1,12288,7168,1,0.03214186628659566,5480.726179035395,0
2,bf16_kda_projection,8,12288,7168,1,0.03254186709721883,43306.86188932422,0
2,bf16_kda_projection,128,12288,7168,1,0.030437332391738892,740819.7937254184,0
2,bf16_kda_projection,1024,12288,7168,1,0.1141045331954956,1580906.747350166,0
2,bf16_kda_projection,8192,12288,7168,1,0.8244501113891601,1750389.7343459972,0
2,bf16_kda_projection,1,6144,7168,2,0.02690239946047465,3274.071672655401,0
2,bf16_kda_projection,8,6144,7168,2,0.025752532482147216,27362.088465998033,0
2,bf16_kda_projection,128,6144,7168,2,0.02348373333613078,480089.3022683918,0
2,bf16_kda_projection,1024,6144,7168,2,0.07497386932373047,1203009.9824053233,0
2,bf16_kda_projection,8192,6144,7168,2,0.5328906695048015,1354038.5430251912,0
2,bf16_kda_projection,1,3072,7168,4,0.0276202658812205,1594.488343790481,0
2,bf16_kda_projection,8,3072,7168,4,0.025805866718292235,13652.768955450752,0
2,bf16_kda_projection,128,3072,7168,4,0.02448106606801351,230265.48600207342,0
2,bf16_kda_projection,1024,3072,7168,4,0.040505599975585935,1113356.0948407517,0
2,bf16_kda_projection,8192,3072,7168,4,0.25181867281595866,1432686.6583387705,0
2,bf16_kda_projection,1,1536,7168,8,0.02567253311475118,857.7297729668707,0
2,bf16_kda_projection,8,1536,7168,8,0.025848533709843954,6815.116477299921,0
2,bf16_kda_projection,128,1536,7168,8,0.024946133295694988,112986.33958980758,0
2,bf16_kda_projection,1024,1536,7168,8,0.023460266987482707,961139.0320506948,0
2,bf16_kda_projection,8192,1536,7168,8,0.12366186777750651,1458724.7441269185,0
2,bf16_kda_projection,1,768,7168,16,0.027643734216690065,398.2836730268018,0
2,bf16_kda_projection,8,768,7168,16,0.02586666742960612,3405.169384100332,0
2,bf16_kda_projection,128,768,7168,16,0.02708160082499186,52038.50958099422,0
2,bf16_kda_projection,1024,768,7168,16,0.02462399999300639,457857.74671873293,0
2,bf16_kda_projection,8192,768,7168,16,0.06730559666951498,1340071.5197411228,0
3,hbm_copy,0,0,0,1,0.08210816383361816,0,6538.581389883486
3,bf16_kda_projection,1,12288,7168,1,0.03191999991734822,5518.8210669216905,0
3,bf16_kda_projection,8,12288,7168,1,0.03199359973271688,44049.00216835726,0
3,bf16_kda_projection,128,12288,7168,1,0.030320000648498536,743686.6036187443,0
3,bf16_kda_projection,1024,12288,7168,1,0.11507626374562581,1567557.205634918,0
3,bf16_kda_projection,8192,12288,7168,1,0.8308298746744792,1736948.8693716184,0
3,bf16_kda_projection,1,6144,7168,2,0.023941334088643393,3679.0090173705507,0
3,bf16_kda_projection,8,6144,7168,2,0.02456000049908956,28690.678244331517,0
3,bf16_kda_projection,128,6144,7168,2,0.022738132874170938,495831.7912200641,0
3,bf16_kda_projection,1024,6144,7168,2,0.06727893352508545,1340602.6001046877,0
3,bf16_kda_projection,8192,6144,7168,2,0.44364798863728844,1626412.210149607,0
3,bf16_kda_projection,1,3072,7168,4,0.024139734109242757,1824.385960537057,0
3,bf16_kda_projection,8,3072,7168,4,0.023849600553512575,14772.638862838732,0
3,bf16_kda_projection,128,3072,7168,4,0.022789333264033,247358.90737517795,0
3,bf16_kda_projection,1024,3072,7168,4,0.02888746658960978,1561132.280953308,0
3,bf16_kda_projection,8192,3072,7168,4,0.21758507092793783,1658097.4573549032,0
3,bf16_kda_projection,1,1536,7168,8,0.024082134167353313,914.3747745518048,0
3,bf16_kda_projection,8,1536,7168,8,0.023704532782236734,7431.522469491916,0
3,bf16_kda_projection,128,1536,7168,8,0.022919466098149616,122977.22276469412,0
3,bf16_kda_projection,1024,1536,7168,8,0.0210591991742452,1070723.4457222982,0
3,bf16_kda_projection,8192,1536,7168,8,0.1124672015508016,1603922.067452867,0
3,bf16_kda_projection,1,768,7168,16,0.023817600806554158,462.26519998480455,0
3,bf16_kda_projection,8,768,7168,16,0.02349226673444112,3749.335259797161,0
3,bf16_kda_projection,128,768,7168,16,0.02407146692276001,58545.91863977738,0
3,bf16_kda_projection,1024,768,7168,16,0.021550933519999187,523146.2080998719,0
3,bf16_kda_projection,8192,768,7168,16,0.061562665303548175,1465081.356878836,0
4,hbm_copy,0,0,0,1,0.08212287902832031,0,6537.409773649783
4,bf16_kda_projection,1,12288,7168,1,0.032179200649261476,5474.367431312901,0
4,bf16_kda_projection,8,12288,7168,1,0.032035199801127116,43991.80129197809,0
4,bf16_kda_projection,128,12288,7168,1,0.030457599957784017,740326.825989363,0
4,bf16_kda_projection,1024,12288,7168,1,0.11510186990102132,1567208.4787772798,0
4,bf16_kda_projection,8192,12288,7168,1,0.8361536026000976,1725889.844842524,0
4,bf16_kda_projection,1,6144,7168,2,0.026119466622670492,3372.212199905732,0
4,bf16_kda_projection,8,6144,7168,2,0.02700693408648173,26091.190867633795,0
4,bf16_kda_projection,128,6144,7168,2,0.023966934283574423,470410.1500260197,0
4,bf16_kda_projection,1024,6144,7168,2,0.06113066673278809,1475434.8028012482,0
4,bf16_kda_projection,8192,6144,7168,2,0.42622718811035154,1692887.093681099,0
4,bf16_kda_projection,1,3072,7168,4,0.026794666051864625,1643.6178721076192,0
4,bf16_kda_projection,8,3072,7168,4,0.026997333765029906,13050.234481168209,0
4,bf16_kda_projection,128,3072,7168,4,0.02406826615333557,234214.81797178646,0
4,bf16_kda_projection,1024,3072,7168,4,0.03207893371582031,1405818.4417071044,0
4,bf16_kda_projection,8192,3072,7168,4,0.220631472269694,1635203.034057605,0
4,bf16_kda_projection,1,1536,7168,8,0.024969599644343057,881.8762140220668,0
4,bf16_kda_projection,8,1536,7168,8,0.027084799607594807,6504.045462850795,0
4,bf16_kda_projection,128,1536,7168,8,0.027289599180221558,103283.75544785545,0
4,bf16_kda_projection,1024,1536,7168,8,0.023421865701675416,962714.8661512072,0
4,bf16_kda_projection,8192,1536,7168,8,0.13123626708984376,1374533.3544766766,0
4,bf16_kda_projection,1,768,7168,16,0.025166932741800943,437.4807257188276,0
4,bf16_kda_projection,8,768,7168,16,0.026270933945973716,3352.769421183795,0
4,bf16_kda_projection,128,768,7168,16,0.02721280058224996,51787.618835498775,0
4,bf16_kda_projection,1024,768,7168,16,0.024190932512283325,466054.3427284294,0
4,bf16_kda_projection,8192,768,7168,16,0.059517868359883624,1515415.7180265042,0
5,hbm_copy,0,0,0,1,0.08208576202392578,0,6540.365816955157
5,bf16_kda_projection,1,12288,7168,1,0.03219626744588216,5471.465544759308,0
5,bf16_kda_projection,8,12288,7168,1,0.03187733292579651,44209.66293762754,0
5,bf16_kda_projection,128,12288,7168,1,0.030173865954081218,747288.3434398023,0
