rank,layer,cache_dtype,cache_bytes,prefill_relative_l2,prefill_cosine,decode_relative_l2,decode_cosine,graph_matches_eager,dummy_preserves_cache
0,3,bfloat16,221184,0.0003022371092811227,1.0,0.004198602866381407,0.9999912977218628,True,True
0,3,fp8_e4m3,110592,0.007545412518084049,0.9999716281890869,0.03148304298520088,0.9995043277740479,True,True
0,67,bfloat16,221184,0.00029994131182320416,0.9999998807907104,0.004978762939572334,0.9999874830245972,True,True
0,67,fp8_e4m3,110592,0.010470706038177013,0.9999452233314514,0.04415629059076309,0.9990296959877014,True,True
1,7,bfloat16,221184,0.000292943004751578,1.0,0.004288764204829931,0.9999908208847046,True,True
1,7,fp8_e4m3,110592,0.007166637107729912,0.9999743103981018,0.032413043081760406,0.9994786977767944,True,True
1,71,bfloat16,221184,0.0003473737742751837,1.0,0.005348083563148975,0.9999856948852539,True,True
1,71,fp8_e4m3,110592,0.013332472182810307,0.9999111890792847,0.04910244047641754,0.9987942576408386,True,True
2,11,bfloat16,221184,0.00027761812089011073,1.0,0.004035931546241045,0.9999920129776001,True,True
2,11,fp8_e4m3,110592,0.008538762107491493,0.9999635219573975,0.032579611986875534,0.9994723796844482,True,True
2,75,bfloat16,221184,0.0003045633784495294,1.0,0.005468456074595451,0.9999849796295166,True,True
2,75,fp8_e4m3,110592,0.014400755986571312,0.9998964071273804,0.05005064979195595,0.9987467527389526,True,True
3,15,bfloat16,221184,0.0002516894310247153,1.0,0.004373639356344938,0.9999905824661255,True,True
3,15,fp8_e4m3,110592,0.007655608933418989,0.9999706745147705,0.036266352981328964,0.9993430972099304,True,True
3,79,bfloat16,221184,0.00038908279384486377,0.9999999403953552,0.005494991783052683,0.9999850392341614,True,True
3,79,fp8_e4m3,110592,0.013035149313509464,0.9999151229858398,0.05081266909837723,0.9987086653709412,True,True
4,19,bfloat16,221184,0.0002372377784922719,0.9999998807907104,0.0039796726778149605,0.9999921321868896,True,True
4,19,fp8_e4m3,110592,0.00468224473297596,0.9999890327453613,0.023267071694135666,0.9997293949127197,True,True
4,83,bfloat16,221184,0.00029226430342532694,0.9999999403953552,0.005216223653405905,0.9999864101409912,True,True
4,83,fp8_e4m3,110592,0.013994545675814152,0.9999020099639893,0.048375774174928665,0.9988341331481934,True,True
5,23,bfloat16,221184,0.00024889869382604957,0.9999999403953552,0.003618385875597596,0.9999934434890747,True,True
5,23,fp8_e4m3,110592,0.004119443707168102,0.9999914169311523,0.024403134360909462,0.9997034072875977,True,True
5,87,bfloat16,221184,0.0003575104638002813,0.9999999403953552,0.0059946454130113125,0.9999820590019226,True,True
5,87,fp8_e4m3,110592,0.014899848960340023,0.9998890161514282,0.05619959160685539,0.9984285831451416,True,True
6,27,bfloat16,221184,0.00029180373530834913,1.0,0.004250295925885439,0.9999908804893494,True,True
6,27,fp8_e4m3,110592,0.008196404203772545,0.9999664425849915,0.034622251987457275,0.9994020462036133,True,True
6,91,bfloat16,221184,0.00022604352852795273,1.0,0.0032194890081882477,0.999994695186615,True,True
6,91,fp8_e4m3,110592,0.01164732500910759,0.9999393820762634,0.02446937747299671,0.9997247457504272,True,True
7,31,bfloat16,221184,0.0002812798193190247,1.0,0.004360759165138006,0.9999905228614807,True,True
7,31,fp8_e4m3,110592,0.008352053351700306,0.9999651312828064,0.035190243273973465,0.9993808269500732,True,True
7,92,bfloat16,221184,0.0003312748158350587,1.0,0.003911621868610382,0.999992311000824,True,True
7,92,fp8_e4m3,110592,0.020394593477249146,0.999793291091919,0.05409073457121849,0.9985556602478027,True,True
8,35,bfloat16,221184,0.00025311182253062725,0.9999999403953552,0.00442923279479146,0.9999902248382568,True,True
8,35,fp8_e4m3,110592,0.008300092071294785,0.9999655485153198,0.037526268512010574,0.9992960095405579,True,True
9,39,bfloat16,221184,0.0002681335899978876,1.0,0.004554009065032005,0.9999896287918091,True,True
9,39,fp8_e4m3,110592,0.008401036262512207,0.999964714050293,0.03926250338554382,0.999229907989502,True,True
10,43,bfloat16,221184,0.00025938026374205947,1.0,0.004157779738306999,0.9999914169311523,True,True
10,43,fp8_e4m3,110592,0.008246194571256638,0.999966025352478,0.03591230511665344,0.9993554949760437,True,True
11,47,bfloat16,221184,0.00026478947256691754,0.9999998807907104,0.00444787135347724,0.9999900460243225,True,True
11,47,fp8_e4m3,110592,0.009053138084709644,0.9999589920043945,0.03798957169055939,0.9992800951004028,True,True
12,51,bfloat16,221184,0.0002657308941707015,1.0,0.004976680967956781,0.9999876618385315,True,True
12,51,fp8_e4m3,110592,0.009041429497301579,0.9999591708183289,0.042419854551553726,0.999100923538208,True,True
13,55,bfloat16,221184,0.0003264026017859578,1.0,0.005145935341715813,0.9999867081642151,True,True
13,55,fp8_e4m3,110592,0.010831174440681934,0.999941349029541,0.04491034150123596,0.9989911317825317,True,True
14,59,bfloat16,221184,0.0002997244882863015,1.0,0.004739421419799328,0.9999887943267822,True,True
14,59,fp8_e4m3,110592,0.010029695928096771,0.99994957447052,0.044563762843608856,0.9990085959434509,True,True
15,63,bfloat16,221184,0.00036989935324527323,1.0,0.004290449433028698,0.9999907612800598,True,True
15,63,fp8_e4m3,110592,0.010670516639947891,0.9999430179595947,0.03799440339207649,0.9992779493331909,True,True
