rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
0,16,16,1,decode,fp8_e4m3,1024,2,1,1.840928077697754,0.11379679441452026,61952,1179648,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,1024,4,1,1.8428586324055989,0.1157088041305542,123392,2359296,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,1024,16,1,1.5360852877298992,0.10958399772644042,493568,9437184,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,8192,2,1,1.5347520510355632,0.11609920263290405,61952,9437184,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,8192,4,1,1.6866025924682617,0.11933280229568481,123392,18874368,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,8192,16,1,1.508778731028239,0.147051203250885,493568,75497472,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,32768,2,1,1.7453866004943848,0.13241759538650513,61952,37748736,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,32768,4,1,1.7964587211608887,0.1467023968696594,123392,75497472,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,32768,16,1,1.5160214106241863,0.1824303984642029,493568,301989888,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,131072,2,1,1.766325314839681,0.1606816053390503,61952,150994944,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,131072,4,1,1.7648320198059082,0.17964160442352295,123392,301989888,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,131072,16,1,1.5514027277628581,0.30759999752044676,493568,1207959552,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,524288,2,1,1.8200106620788574,0.22370879650115966,61952,603979776,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,524288,4,1,1.8086719512939453,0.3027856111526489,123392,1207959552,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,524288,16,1,1.5443092981974285,0.8132143974304199,493568,4831838208,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,1048576,2,1,1.8249279657999675,0.30639359951019285,61952,1207959552,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,1048576,4,1,1.7486400604248047,0.4684927940368652,123392,2415919104,0.03509664535522461
0,16,16,1,decode,fp8_e4m3,1048576,16,1,1.7648107210795085,1.4980624198913575,493568,9663676416,0.03509664535522461
0,16,16,1,decode,bfloat16,1024,2,1,1.7050347328186035,0.107750403881073,61952,2359296,0.006898726802319288
0,16,16,1,decode,bfloat16,1024,4,1,1.673269271850586,0.1103376030921936,123392,4718592,0.006898726802319288
0,16,16,1,decode,bfloat16,1024,16,1,1.4801066716512044,0.11334400177001953,493568,18874368,0.006898726802319288
0,16,16,1,decode,bfloat16,8192,2,1,1.69595734278361,0.11679680347442627,61952,18874368,0.006898726802319288
0,16,16,1,decode,bfloat16,8192,4,1,1.6917333602905273,0.12471359968185425,123392,37748736,0.006898726802319288
0,16,16,1,decode,bfloat16,8192,16,1,1.4560960133870442,0.16016160249710082,493568,150994944,0.006898726802319288
0,16,16,1,decode,bfloat16,32768,2,1,1.7218987147013347,0.1485424041748047,61952,75497472,0.006898726802319288
0,16,16,1,decode,bfloat16,32768,4,1,1.477941354115804,0.15632480382919312,123392,150994944,0.006898726802319288
0,16,16,1,decode,bfloat16,32768,16,1,1.4571733474731445,0.2356271982192993,493568,603979776,0.006898726802319288
0,16,16,1,decode,bfloat16,131072,2,1,1.5197653770446777,0.1854383945465088,61952,301989888,0.006898726802319288
0,16,16,1,decode,bfloat16,131072,4,1,1.701034704844157,0.23043360710144042,123392,603979776,0.006898726802319288
0,16,16,1,decode,bfloat16,131072,16,1,1.220352013905843,0.5277023792266846,493568,2415919104,0.006898726802319288
0,16,16,1,decode,bfloat16,524288,2,1,1.670944054921468,0.3321712017059326,61952,1207959552,0.006898726802319288
0,16,16,1,decode,bfloat16,524288,4,1,1.731808026631673,0.5340816020965576,123392,2415919104,0.006898726802319288
0,16,16,1,decode,bfloat16,524288,16,1,2.0917226473490396,1.7914512634277344,493568,9663676416,0.006898726802319288
0,16,16,1,decode,bfloat16,1048576,2,1,1.7834879557291667,0.5429759979248047,61952,2415919104,0.006898726802319288
0,16,16,1,decode,bfloat16,1048576,4,1,1.849247932434082,0.9174896240234375,123392,4831838208,0.006898726802319288
0,16,16,1,decode,bfloat16,1048576,16,1,15.28818130493164,3.3509681701660154,493568,19327352832,0.006898726802319288
0,16,8,2,decode,fp8_e4m3,1024,2,1,1.7708160082499187,0.09280480146408081,87040,1179648,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,1024,4,1,1.8770453135172527,0.09550880193710327,173568,2359296,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,1024,16,1,1.499615987141927,0.10369759798049927,694272,9437184,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,8192,2,1,1.731818675994873,0.10035519599914551,87040,9437184,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,8192,4,1,1.9257599512736003,0.10513119697570801,173568,18874368,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,8192,16,1,1.3364373842875164,0.12462559938430787,694272,75497472,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,32768,2,1,1.9699947039286296,0.11840159893035888,87040,37748736,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,32768,4,1,1.70522673924764,0.12491840124130249,173568,75497472,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,32768,16,1,1.3367679913838704,0.1572160005569458,694272,301989888,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,131072,2,1,1.8300159772237141,0.13843679428100586,87040,150994944,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,131072,4,1,1.7656213442484539,0.15694400072097778,173568,301989888,0.03501495346426964
0,16,8,2,decode,fp8_e4m3,131072,16,1,1.4106987317403157,0.28233919143676756,694272,1207959552,0.03501495346426964
