rank,ep,expert_tp,routing,global_tokens,logical_intermediate,physical_intermediate,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
0,16,1,balanced,16,3072,3072,1,1,0.18638720512390136,0.0,True
0,16,1,hot,16,3072,3072,1,1,0.08723413149515788,0.0,True
0,16,1,balanced,128,3072,3072,8,8,0.20541440645853679,0.0,True
0,16,1,hot,128,3072,3072,8,8,0.35790932973225914,0.0,True
0,16,1,balanced,2048,3072,3072,128,128,0.2648618698120117,0.0,True
0,16,1,hot,2048,3072,3072,128,128,1.1658645629882813,0.0,True
0,16,1,balanced,8192,3072,3072,512,512,0.4216917355855306,0.0,True
0,16,1,hot,8192,3072,3072,512,512,4.358885192871094,0.0,True
0,8,2,balanced,16,1536,1536,1,2,0.2475754737854004,0.003170400159433484,True
0,8,2,hot,16,1536,1536,1,2,0.12363839944203694,0.003170400159433484,True
0,8,2,balanced,128,1536,1536,8,16,0.2626944065093994,0.0032259980216622353,True
0,8,2,hot,128,1536,1536,8,16,0.2674218813578288,0.003211986506357789,True
0,8,2,balanced,2048,1536,1536,128,256,0.3545130729675293,0.0032572594936937094,True
0,8,2,hot,2048,1536,1536,128,256,0.8261226654052735,0.0031912338454276323,True
0,8,2,balanced,8192,1536,1536,512,1024,0.5563594818115234,0.003255261806771159,True
0,8,2,hot,8192,1536,1536,512,1024,2.7604342142740887,0.0031956166494637728,True
0,4,4,balanced,16,768,1024,1,4,0.36369279225667317,0.003581735771149397,True
0,4,4,hot,16,768,1024,1,4,0.146723206837972,0.003581735771149397,True
0,4,4,balanced,128,768,1024,8,32,0.3741226514180501,0.0035905526019632816,True
0,4,4,hot,128,768,1024,8,32,0.27366612752278646,0.003597947768867016,True
0,4,4,balanced,2048,768,1024,128,512,0.48853333791097003,0.003668653080239892,True
0,4,4,hot,2048,768,1024,128,512,0.8145002365112305,0.00358731672167778,True
0,4,4,balanced,8192,768,1024,512,2048,0.906492805480957,0.003680202644318342,True
0,4,4,hot,8192,768,1024,512,2048,2.738531239827474,0.0035968550946563482,True
1,16,1,balanced,16,3072,3072,1,1,0.1863423983256022,0.0,True
1,16,1,hot,16,3072,3072,1,1,0.08717546463012696,0.0,True
1,16,1,balanced,128,3072,3072,8,8,0.2053343931833903,0.0,True
1,16,1,hot,128,3072,3072,8,8,0.35786558787027994,0.0,True
1,16,1,balanced,2048,3072,3072,128,128,0.2648810704549154,0.0,True
1,16,1,hot,2048,3072,3072,128,128,1.1658004760742187,0.0,True
1,16,1,balanced,8192,3072,3072,512,512,0.421617062886556,0.0,True
1,16,1,hot,8192,3072,3072,512,512,4.35883534749349,0.0,True
1,8,2,balanced,16,1536,1536,1,2,0.2471413294474284,0.003273156238719821,True
1,8,2,hot,16,1536,1536,1,2,0.12322773138682047,0.003057654481381178,True
1,8,2,balanced,128,1536,1536,8,16,0.2626933256785075,0.0032594085205346346,True
1,8,2,hot,128,1536,1536,8,16,0.2675381342569987,0.0031410304363816977,True
1,8,2,balanced,2048,1536,1536,128,256,0.3545749346415202,0.003248026128858328,True
1,8,2,hot,2048,1536,1536,128,256,0.8260416030883789,0.0031930883415043354,True
1,8,2,balanced,8192,1536,1536,512,1024,0.5562218983968099,0.003252951195463538,True
