rank,ep,expert_tp,global_tokens,logical_intermediate,physical_intermediate,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
0,16,1,16,3072,3072,1,1,0.18732800483703613,0.0,True
0,16,1,128,3072,3072,8,8,0.20551573435465495,0.0,True
0,16,1,2048,3072,3072,128,128,0.2632522741953532,0.0,True
0,16,1,8192,3072,3072,512,512,0.38804585138956704,0.0,True
0,8,2,16,1536,1536,1,2,0.2413845380147298,0.003170400159433484,True
0,8,2,128,1536,1536,8,16,0.2510069370269775,0.0032259980216622353,True
0,8,2,2048,1536,1536,128,256,0.3319178581237793,0.0032572594936937094,True
0,8,2,8192,1536,1536,512,1024,0.5561301549275716,0.003255261806771159,True
0,4,4,16,768,1024,1,4,0.36511573791503904,0.003581735771149397,True
0,4,4,128,768,1024,8,32,0.374837334950765,0.0035905526019632816,True
0,4,4,2048,768,1024,128,512,0.48825279871622723,0.003668653080239892,True
0,4,4,8192,768,1024,512,2048,0.9057408014933268,0.003680202644318342,True
1,16,1,16,3072,3072,1,1,0.18728426297505696,0.0,True
1,16,1,128,3072,3072,8,8,0.20541653633117676,0.0,True
1,16,1,2048,3072,3072,128,128,0.26332160631815593,0.0,True
1,16,1,8192,3072,3072,512,512,0.3880650520324707,0.0,True
1,8,2,16,1536,1536,1,2,0.2411637306213379,0.003273156238719821,True
1,8,2,128,1536,1536,8,16,0.25083413124084475,0.0032594085205346346,True
1,8,2,2048,1536,1536,128,256,0.3318293253580729,0.003248026128858328,True
1,8,2,8192,1536,1536,512,1024,0.5562175750732422,0.003252951195463538,True
1,4,4,16,768,1024,1,4,0.36492907206217445,0.003520156256854534,True
1,4,4,128,768,1024,8,32,0.37450666427612306,0.0037246670108288527,True
1,4,4,2048,768,1024,128,512,0.48816852569580077,0.003676563734188676,True
1,4,4,8192,768,1024,512,2048,0.905738639831543,0.0036802911199629307,True
2,16,1,16,3072,3072,1,1,0.18728960355122884,0.0,True
2,16,1,128,3072,3072,8,8,0.2055199940999349,0.0,True
2,16,1,2048,3072,3072,128,128,0.26328105926513673,0.0,True
2,16,1,8192,3072,3072,512,512,0.3881386756896973,0.0,True
2,8,2,16,1536,1536,1,2,0.24101120630900066,0.0032944881822913885,True
2,8,2,128,1536,1536,8,16,0.2506869316101074,0.0032498713117092848,True
2,8,2,2048,1536,1536,128,256,0.3316981315612793,0.0032575130462646484,True
2,8,2,8192,1536,1536,512,1024,0.5560703913370768,0.0032433911692351103,True
2,4,4,16,768,1024,1,4,0.3648746808369954,0.0036217495799064636,True
2,4,4,128,768,1024,8,32,0.3741216023763021,0.0036528916098177433,True
2,4,4,2048,768,1024,128,512,0.48800319035847983,0.0036819702945649624,True
2,4,4,8192,768,1024,512,2048,0.9056917190551758,0.0036743697710335255,True
3,16,1,16,3072,3072,1,1,0.18643306096394857,0.0,True
3,16,1,128,3072,3072,8,8,0.20528213183085123,0.0,True
3,16,1,2048,3072,3072,128,128,0.2631146589914958,0.0,True
3,16,1,8192,3072,3072,512,512,0.38799254099527997,0.0,True
3,8,2,16,1536,1536,1,2,0.24136533737182617,0.003204828593879938,True
3,8,2,128,1536,1536,8,16,0.25084800720214845,0.003224412677809596,True
3,8,2,2048,1536,1536,128,256,0.33171094258626305,0.0032466754782944918,True
3,8,2,8192,1536,1536,512,1024,0.5559946695963541,0.0032533437479287386,True
3,4,4,16,768,1024,1,4,0.36478932698567706,0.003655844833701849,True
3,4,4,128,768,1024,8,32,0.3745343844095866,0.0036851856857538223,True
3,4,4,2048,768,1024,128,512,0.48801279067993164,0.003673041006550193,True
3,4,4,8192,768,1024,512,2048,0.9056970596313476,0.0036786694545298815,True
4,16,1,16,3072,3072,1,1,0.18735574086507162,0.0,True
4,16,1,128,3072,3072,8,8,0.2054965337117513,0.0,True
4,16,1,2048,3072,3072,128,128,0.26302080154418944,0.0,True
4,16,1,8192,3072,3072,512,512,0.3880394617716471,0.0,True
4,8,2,16,1536,1536,1,2,0.2415445327758789,0.0032171402126550674,True
4,8,2,128,1536,1536,8,16,0.25068480173746743,0.003234083764255047,True
4,8,2,2048,1536,1536,128,256,0.3311658541361491,0.003246120410040021,True
4,8,2,8192,1536,1536,512,1024,0.5561173121134441,0.0032504505943506956,True
4,4,4,16,768,1024,1,4,0.36445226669311526,0.003659384325146675,True
4,4,4,128,768,1024,8,32,0.37429653803507484,0.0036672798451036215,True
