rank,ep,expert_tp,routing,global_tokens,logical_intermediate,physical_intermediate,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
14,16,1,balanced,16,3072,3072,1,1,0.18629652659098309,0.0,True
14,16,1,hot,16,3072,3072,1,1,0.0871018648147583,0.0,True
14,16,1,balanced,128,3072,3072,8,8,0.20522665977478027,0.0,True
14,16,1,hot,128,3072,3072,8,8,0.3577813466389974,0.0,True
14,16,1,balanced,2048,3072,3072,128,128,0.26487785975138345,0.0,True
14,16,1,hot,2048,3072,3072,128,128,1.1657119750976563,0.0,True
14,16,1,balanced,8192,3072,3072,512,512,0.4217354774475098,0.0,True
14,16,1,hot,8192,3072,3072,512,512,4.35857187906901,0.0,True
14,8,2,balanced,16,1536,1536,1,2,0.24764800071716309,0.0033137635327875614,True
14,8,2,hot,16,1536,1536,1,2,0.12315626939137776,0.003182397224009037,True
14,8,2,balanced,128,1536,1536,8,16,0.26274239222208656,0.003232052084058523,True
14,8,2,hot,128,1536,1536,8,16,0.26751041412353516,0.0032330055255442858,True
14,8,2,balanced,2048,1536,1536,128,256,0.35458666483561196,0.003249695524573326,True
14,8,2,hot,2048,1536,1536,128,256,0.8261909484863281,0.0031972266733646393,True
14,8,2,balanced,8192,1536,1536,512,1024,0.556109873453776,0.0032544448040425777,True
14,8,2,hot,8192,1536,1536,512,1024,2.76023686726888,0.003195032477378845,True
14,4,4,balanced,16,768,1024,1,4,0.3635936101277669,0.0035276715643703938,True
14,4,4,hot,16,768,1024,1,4,0.14668800036112467,0.0035506037529557943,True
14,4,4,balanced,128,768,1024,8,32,0.3740586598714193,0.00365485274232924,True
14,4,4,hot,128,768,1024,8,32,0.27360105514526367,0.0036434787325561047,True
14,4,4,balanced,2048,768,1024,128,512,0.48872321446736655,0.0036796932108700275,True
14,4,4,hot,2048,768,1024,128,512,0.81440855662028,0.0036107401829212904,True
14,4,4,balanced,8192,768,1024,512,2048,0.9064149220784505,0.0036845640279352665,True
14,4,4,hot,8192,768,1024,512,2048,2.7382347106933596,0.0036088849883526564,True
