rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
0,16,1,1,1,32768,0.348089599609375,0.346777606010437,0.3383647918701172,0.0019712448120117188,125829120,125829120
0,16,1,1,128,32768,0.3458944082260132,0.34582080841064455,0.33834080696105956,0.0019712448120117188,125829120,16106127360
0,16,1,1,1024,32768,0.46818881034851073,0.4657760143280029,0.45847358703613283,0.0019712448120117188,125829120,128849018880
0,16,1,1,8192,32768,0.9181664466857911,0.9181280136108398,0.9060815811157227,0.0019712448120117188,125829120,1030792151040
0,16,1,1,1,131072,1.3553376197814941,1.35382080078125,1.3466992378234863,0.0019712448120117188,503316480,503316480
0,16,1,1,128,131072,1.357478427886963,1.3553664207458496,1.3475104331970216,0.0019712448120117188,503316480,64424509440
0,16,1,1,1024,131072,1.8095104217529296,1.807574462890625,1.8001663208007812,0.0019712448120117188,503316480,515396075520
0,16,1,1,8192,131072,3.5643550872802736,3.539235305786133,3.531644821166992,0.0019712448120117188,503316480,4123168604160
0,16,1,1,1,1048576,10.749120330810547,10.722035217285157,10.714008331298828,0.0019712448120117188,4026531840,4026531840
0,16,1,1,128,1048576,10.723926544189453,10.723891448974609,10.713839721679687,0.0019712448120117188,4026531840,515396075520
0,16,1,1,1024,1048576,14.354725646972657,14.357084655761719,14.348167419433594,0.0019712448120117188,4026531840,4123168604160
0,16,1,1,8192,1048576,28.64610900878906,28.296453857421874,28.49586181640625,0.0019712448120117188,4026531840,32985348833280
0,8,2,1,1,32768,0.1826848030090332,0.3948512077331543,0.2109839916229248,0.0035523176193237305,125829120,125829120
0,8,2,1,128,32768,0.1823232054710388,0.4019328117370605,0.21678719520568848,0.0035523176193237305,125829120,16106127360
0,8,2,1,1024,32768,0.24404480457305908,0.38143680095672605,0.3146048069000244,0.0035523176193237305,125829120,128849018880
0,8,2,1,8192,32768,0.717251205444336,0.9055456161499024,0.8797295570373536,0.0035523176193237305,125829120,1030792151040
0,8,2,1,1,131072,0.6910719871520996,0.7353983879089355,0.7286448001861572,0.0035523176193237305,503316480,503316480
0,8,2,1,128,131072,0.6940767765045166,0.734342384338379,0.7268208026885986,0.0035523176193237305,503316480,64424509440
0,8,2,1,1024,131072,0.9183263778686523,1.0011263847351075,0.990824031829834,0.0035523176193237305,503316480,515396075520
0,8,2,1,8192,131072,2.7239967346191407,3.045929527282715,2.985641670227051,0.0035523176193237305,503316480,4123168604160
0,8,2,1,1,1048576,5.403721618652344,5.48551025390625,5.456409454345703,0.0035523176193237305,4026531840,4026531840
0,8,2,1,128,1048576,5.404412841796875,5.471648025512695,5.4610847473144535,0.0035523176193237305,4026531840,515396075520
0,8,2,1,1024,1048576,7.220246124267578,7.3150146484375,7.306038665771484,0.0035523176193237305,4026531840,4123168604160
0,8,2,1,8192,1048576,23.65961608886719,23.987277221679687,23.540792846679686,0.0035523176193237305,4026531840,32985348833280
0,4,4,1,1,32768,0.10134719610214234,0.4289440155029297,0.1422111988067627,0.001576155424118042,125829120,125829120
0,4,4,1,128,32768,0.10096960067749024,0.4643392086029053,0.15244319438934326,0.001576155424118042,125829120,16106127360
0,4,4,1,1024,32768,0.13476799726486205,0.4921567916870117,0.2368704080581665,0.001576155424118042,125829120,128849018880
0,4,4,1,8192,32768,0.7048255920410156,1.0849791526794434,1.062830352783203,0.001576155424118042,125829120,1030792151040
0,4,4,1,1,131072,0.36683199405670164,0.4481760025024414,0.3945807933807373,0.001576155424118042,503316480,503316480
0,4,4,1,128,131072,0.356713604927063,0.46109437942504883,0.4059567928314209,0.001576155424118042,503316480,64424509440
0,4,4,1,1024,131072,0.4822080135345459,0.5933856010437012,0.5827072143554688,0.001576155424118042,503316480,515396075520
0,4,4,1,8192,131072,2.7761728286743166,3.333331298828125,3.214112091064453,0.001576155424118042,503316480,4123168604160
0,4,4,1,1,1048576,2.7338144302368166,2.7999711990356446,2.785443115234375,0.001576155424118042,4026531840,4026531840
0,4,4,1,128,1048576,2.7363103866577148,2.809584045410156,2.795060729980469,0.001576155424118042,4026531840,515396075520
0,4,4,1,1024,1048576,3.71734733581543,3.8705184936523436,3.830433654785156,0.001576155424118042,4026531840,4123168604160
0,4,4,1,8192,1048576,23.532118225097655,26.203244018554688,24.996560668945314,0.001576155424118042,4026531840,32985348833280
