rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
0,1,16,prefill,1,1024,2.5912959575653076,,881442816,3440640
0,1,16,prefill,1,8192,14.274880409240723,,7048445952,3440640
0,1,16,prefill,1,16384,28.545759201049805,,14096449536,3440640
0,1,16,decode,1,1,0.6605759859085083,0.1516874631245931,246272,3440640
0,1,16,decode,8,1,0.6750079989433289,0.1620288054148356,1969664,27525120
0,1,16,decode,32,1,0.6215680241584778,0.20517439842224122,8468480,110100480
0,1,16,decode,128,1,0.5447679758071899,0.35289707183837893,31580160,440401920
0,1,16,decode,256,1,0.6509119868278503,0.6363264083862304,63029248,880803840
0,2,8,prefill,1,1024,2.2665278911590576,,440721408,1720320
0,2,8,prefill,1,8192,7.876704216003418,,3524222976,1720320
0,2,8,prefill,1,16384,15.173215866088867,,7048224768,1720320
0,2,8,decode,1,1,0.8458560109138489,0.10538453261057536,125440,1720320
0,2,8,decode,8,1,0.8607040047645569,0.11097173690795899,1002496,13762560
0,2,8,decode,32,1,0.8390719890594482,0.13977600733439127,4074496,55050240
0,2,8,decode,128,1,0.7011200189590454,0.21994560559590656,16101376,220200960
0,2,8,decode,256,1,0.620639979839325,0.39252481460571287,32071680,440401920
0,4,4,prefill,1,1024,1.9871679544448853,,220360704,860160
0,4,4,prefill,1,8192,4.632832050323486,,1762111488,860160
0,4,4,prefill,1,16384,8.55344009399414,,3524112384,860160
0,4,4,decode,1,1,0.7515519857406616,0.07832533518473307,70144,860160
0,4,4,decode,8,1,0.7601600289344788,0.07976746559143066,559616,6881280
0,4,4,decode,32,1,0.7434880137443542,0.09332906405131022,2238464,27525120
0,4,4,decode,128,1,0.7300480008125305,0.14658560752868652,8953856,110100480
0,4,4,decode,256,1,0.7045120000839233,0.2266485373179118,17973248,220200960
0,8,2,prefill,1,1024,2.3641281127929688,,110180352,430080
0,8,2,prefill,1,8192,3.709376096725464,,881055744,430080
0,8,2,prefill,1,16384,5.571807861328125,,1762056192,430080
0,8,2,decode,1,1,1.155135989189148,0.07395520210266113,42496,430080
0,8,2,decode,8,1,1.2375359535217285,0.07663359642028808,338432,3440640
0,8,2,decode,32,1,1.072864055633545,0.08208106358846029,1352704,13762560
0,8,2,decode,128,1,1.0979520082473755,0.11015146573384603,5476352,55050240
0,8,2,decode,256,1,1.0547200441360474,0.1755232016245524,11345920,110100480
0,16,1,prefill,1,1024,2.243232011795044,,55155712,215040
0,16,1,prefill,1,8192,3.3689279556274414,,440790016,215040
0,16,1,prefill,1,16384,4.214687824249268,,881028096,215040
0,16,1,decode,1,1,1.0977920293807983,0.08275840282440186,28672,215040
0,16,1,decode,8,1,1.2479360103607178,0.0732426643371582,227840,1720320
0,16,1,decode,32,1,0.9633920192718506,0.07841280301411947,910336,6881280
0,16,1,decode,128,1,0.977728009223938,0.11357973416646322,3641344,27525120
0,16,1,decode,256,1,0.9676799774169922,0.14242666562398273,7348224,55050240
1,1,16,prefill,1,1024,2.546463966369629,,881442816,3440640
1,1,16,prefill,1,8192,14.318047523498535,,7048445952,3440640
1,1,16,prefill,1,16384,28.598432540893555,,14096449536,3440640
1,1,16,decode,1,1,0.6466559767723083,0.1516287962595622,246272,3440640
1,1,16,decode,8,1,0.5966399908065796,0.16278506914774576,1969664,27525120
1,1,16,decode,32,1,0.6205440163612366,0.20632425944010416,8468480,110100480
1,1,16,decode,128,1,0.5457919836044312,0.351857058207194,31580160,440401920
1,1,16,decode,256,1,0.6502400040626526,0.6373813629150391,63029248,880803840
1,2,8,prefill,1,1024,2.281503915786743,,440721408,1720320
1,2,8,prefill,1,8192,7.8779520988464355,,3524222976,1720320
1,2,8,prefill,1,16384,15.18073558807373,,7048224768,1720320
1,2,8,decode,1,1,0.8478400111198425,0.10549759864807129,125440,1720320
1,2,8,decode,8,1,0.8688960075378418,0.11107626756032309,1002496,13762560
1,2,8,decode,32,1,0.8407040238380432,0.13990613619486492,4074496,55050240
1,2,8,decode,128,1,0.707584023475647,0.21993172963460286,16101376,220200960
1,2,8,decode,256,1,0.6236159801483154,0.39259840647379557,32071680,440401920
1,4,4,prefill,1,1024,1.9890880584716797,,220360704,860160
1,4,4,prefill,1,8192,4.635200023651123,,1762111488,860160
1,4,4,prefill,1,16384,8.556480407714844,,3524112384,860160
1,4,4,decode,1,1,0.7452160120010376,0.07819413344065348,70144,860160
1,4,4,decode,8,1,0.761792004108429,0.07972799936930339,559616,6881280
1,4,4,decode,32,1,0.7428479790687561,0.09312427043914795,2238464,27525120
1,4,4,decode,128,1,0.7352319955825806,0.14660693804423014,8953856,110100480
1,4,4,decode,256,1,0.7024000287055969,0.22665600776672362,17973248,220200960
1,8,2,prefill,1,1024,2.3597118854522705,,110180352,430080
1,8,2,prefill,1,8192,3.706847906112671,,881055744,430080
