rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
3,16,16,1,decode,fp8_e4m3,1024,2,1,1.8347840309143066,0.11331360340118408,61952,1179648,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,1024,4,1,1.711957295735677,0.11472959518432617,123392,2359296,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,1024,16,1,1.540298620859782,0.10924960374832153,493568,9437184,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,8192,2,1,1.5360852877298992,0.11622400283813476,61952,9437184,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,8192,4,1,1.6859307289123535,0.11950880289077759,123392,18874368,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,8192,16,1,1.5146133104960124,0.14643360376358033,493568,75497472,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,32768,2,1,1.7446187337239583,0.1322383999824524,61952,37748736,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,32768,4,1,1.800437291463216,0.14612799882888794,123392,75497472,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,32768,16,1,1.5174719492594402,0.1821071982383728,493568,301989888,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,131072,2,1,1.7704639434814453,0.16018400192260743,61952,150994944,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,131072,4,1,1.7641386985778809,0.17912800312042237,123392,301989888,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,131072,16,1,1.5535573959350586,0.30784800052642824,493568,1207959552,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,524288,2,1,1.819541295369466,0.22353758811950683,61952,603979776,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,524288,4,1,1.8068586985270183,0.3023535966873169,123392,1207959552,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,524288,16,1,1.5436693827311199,0.8128640174865722,493568,4831838208,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,1048576,2,1,1.827189286549886,0.3064624071121216,61952,1207959552,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,1048576,4,1,1.732693354288737,0.46814718246459963,123392,2415919104,0.03509664535522461
3,16,16,1,decode,fp8_e4m3,1048576,16,1,1.7625919977823894,1.4978272438049316,493568,9663676416,0.03509664535522461
