rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
0,16,1,16,decode,fp8_e4m3,1024,2,1,1.0034560362497966,0.13140000104904176,824832,1179648,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,1024,4,1,1.0081066290537517,0.1353503942489624,1649152,2359296,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,1024,16,1,0.9240640004475912,0.14099520444869995,6662144,9437184,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,8192,2,1,0.9973013401031494,0.1403887987136841,824832,9437184,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,8192,4,1,1.026421308517456,0.14361439943313598,1649152,18874368,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,8192,16,1,0.9483413696289062,0.15380959510803222,6596608,75497472,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,32768,2,1,1.007914702097575,0.1493824005126953,824832,37748736,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,32768,4,1,1.0113386313120525,0.1535823941230774,1649152,75497472,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,32768,16,1,0.8956373532613119,0.1960047960281372,6596608,301989888,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,131072,2,1,1.0163946946461995,0.16745599508285522,824832,150994944,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,131072,4,1,1.0455040136973064,0.19107840061187745,1649152,301989888,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,131072,16,1,0.9679679870605469,0.3834431886672974,6596608,1207959552,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,524288,2,1,1.0381759802500408,0.2522223949432373,824832,603979776,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,524288,4,1,1.0334186553955078,0.3495183944702148,1649152,1207959552,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,524288,16,1,1.3847893079121907,1.1988703727722168,6596608,4831838208,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,1048576,2,1,1.0655893484751384,0.3534991979598999,824832,1207959552,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,1048576,4,1,1.0983680089314778,0.5843599796295166,1649152,2415919104,0.034656696021556854
0,16,1,16,decode,fp8_e4m3,1048576,16,1,2.3857812881469727,2.6535360336303713,6596608,9663676416,0.034656696021556854
0,16,1,16,decode,bfloat16,1024,2,1,0.9726826349894205,0.12970720529556273,861696,2359296,0.004290093667805195
0,16,1,16,decode,bfloat16,1024,4,1,0.9926293690999349,0.13375200033187867,1722880,4718592,0.004290093667805195
0,16,1,16,decode,bfloat16,1024,16,1,0.872757355372111,0.14782240390777587,6891520,18874368,0.004290093667805195
0,16,1,16,decode,bfloat16,8192,2,1,0.9934186935424805,0.14718719720840454,861696,18874368,0.004290093667805195
0,16,1,16,decode,bfloat16,8192,4,1,0.9593813419342041,0.1396239995956421,1722880,37748736,0.004290093667805195
0,16,1,16,decode,bfloat16,8192,16,1,0.8629653453826904,0.15978399515151978,6891520,150994944,0.004290093667805195
0,16,1,16,decode,bfloat16,32768,2,1,0.9567573070526123,0.14843039512634276,861696,75497472,0.004290093667805195
0,16,1,16,decode,bfloat16,32768,4,1,0.9983359972635905,0.15791840553283693,1722880,150994944,0.004290093667805195
0,16,1,16,decode,bfloat16,32768,16,1,0.8979732990264893,0.24303359985351564,6891520,603979776,0.004290093667805195
0,16,1,16,decode,bfloat16,131072,2,1,1.007210652033488,0.1860479950904846,861696,301989888,0.004290093667805195
0,16,1,16,decode,bfloat16,131072,4,1,0.9614720344543457,0.23375520706176758,1722880,603979776,0.004290093667805195
0,16,1,16,decode,bfloat16,131072,16,1,0.978111982345581,0.5681791782379151,6891520,2415919104,0.004290093667805195
0,16,1,16,decode,bfloat16,524288,2,1,0.9946133295694987,0.33268160820007325,861696,1207959552,0.004290093667805195
