rank,world,tp,dp,phase,cache_dtype,context,batch_per_dp,chunk,eager_ms,graph_ms,dynamic_peak_bytes,cache_bytes,short_reference_relative_l2
3,16,1,16,decode,fp8_e4m3,1024,1,1,1.661834716796875,0.12994879484176636,413184,589824,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,1024,8,1,1.7080853780110676,0.13776320219039917,3298304,4718592,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,1024,32,1,1.6582293510437012,0.1519711971282959,13193216,18874368,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,1024,1,128,2.2061546643575034,,135628288,589824,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,1024,1,1024,1.6900374094645183,,215090176,589824,0.007521942723542452
3,16,1,16,decode,fp8_e4m3,8192,1,1,1.3048746585845947,0.13575680255889894,413184,4718592,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,8192,8,1,1.8015999794006348,0.14594559669494628,3298304,37748736,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,8192,32,1,1.2084906895955403,0.17625759840011596,13193216,150994944,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,8192,1,128,3.703104019165039,,768706048,4718592,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,8192,1,1024,3.135242780049642,,975963648,4718592,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,8192,1,8192,4.789216041564941,,1632633856,4718592,0.007521942723542452
3,16,1,16,decode,fp8_e4m3,32768,1,1,1.6813653310139973,0.14989759922027587,413184,18874368,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,32768,8,1,1.6672107378641765,0.16467519998550414,3298304,150994944,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,32768,32,1,1.1661653518676758,0.2632319927215576,13193216,603979776,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,32768,1,128,5.024863878885905,,2939553280,18874368,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,32768,1,1024,5.911231994628906,,3146515968,18874368,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,32768,1,8192,16.803595225016277,,4826072576,18874368,0.007521942723542452
3,16,1,16,decode,fp8_e4m3,131072,1,1,1.3354026476542156,0.16009600162506105,413184,75497472,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,131072,8,1,1.6873599688212078,0.2509727954864502,3298304,603979776,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,131072,32,1,1.2871466477711995,0.6402959823608398,13193216,2415919104,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,131072,1,128,9.907295862833658,,11621762560,75497472,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,131072,1,1024,14.543562571207682,,11828725248,75497472,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,131072,1,8192,55.12071228027344,,13508806144,75497472,0.007521942723542452
3,16,1,16,decode,fp8_e4m3,524288,1,1,1.7272532780965169,0.19853919744491577,413184,301989888,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,524288,8,1,1.7893865903218586,0.6068895816802978,3298304,2415919104,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,524288,32,1,2.568448066711426,2.549995231628418,13193216,9663676416,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,524288,1,128,36.09834543863932,,16899147264,301989888,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,524288,1,1024,54.21783447265625,,17076192768,301989888,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,524288,1,8192,215.91031901041666,,18494785024,301989888,0.007521942723542452
3,16,1,16,decode,fp8_e4m3,1048576,1,1,1.575818697611491,0.24723200798034667,413184,603979776,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,1048576,8,1,1.8438506126403809,1.0895919799804688,3298304,4831838208,0.034656696021556854
3,16,1,16,decode,fp8_e4m3,1048576,32,1,4.423189481099446,5.158070373535156,13193216,19327352832,0.034656696021556854
3,16,1,16,prefill,fp8_e4m3,1048576,1,128,71.40827941894531,,17503127040,603979776,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,1048576,1,1024,107.5077412923177,,17680172544,603979776,0.007521942723542452
3,16,1,16,prefill,fp8_e4m3,1048576,1,8192,431.2071126302083,,19098764800,603979776,0.007521942723542452
3,16,1,16,decode,bfloat16,1024,1,1,1.4101440111796062,0.12730239629745482,431616,1179648,0.004290093667805195
3,16,1,16,decode,bfloat16,1024,8,1,1.3590292930603027,0.13986719846725465,3445760,9437184,0.004290093667805195
3,16,1,16,decode,bfloat16,1024,32,1,1.267573356628418,0.14756159782409667,13783040,37748736,0.004290093667805195
3,16,1,16,prefill,bfloat16,1024,1,128,2.62444798151652,,136021504,1179648,0.0016153258038684726
3,16,1,16,prefill,bfloat16,1024,1,1024,1.4143892923990886,,215090176,1179648,0.0016153258038684726
3,16,1,16,decode,bfloat16,8192,1,1,1.5050133069356282,0.13681600093841553,431616,9437184,0.004290093667805195
3,16,1,16,decode,bfloat16,8192,8,1,1.4895893732706706,0.14447200298309326,3445760,75497472,0.004290093667805195
3,16,1,16,decode,bfloat16,8192,32,1,1.061354637145996,0.1949936032295227,13783040,301989888,0.004290093667805195
3,16,1,16,prefill,bfloat16,8192,1,128,2.6984427769978843,,769377792,9437184,0.0016153258038684726
3,16,1,16,prefill,bfloat16,8192,1,1024,3.1829118728637695,,976094720,9437184,0.0016153258038684726
3,16,1,16,prefill,bfloat16,8192,1,8192,4.703104019165039,,1632633856,9437184,0.0016153258038684726
3,16,1,16,decode,bfloat16,32768,1,1,1.2263786792755127,0.14575040340423584,431616,37748736,0.004290093667805195
3,16,1,16,decode,bfloat16,32768,8,1,1.2157653172810872,0.18303999900817872,3445760,301989888,0.004290093667805195
3,16,1,16,decode,bfloat16,32768,32,1,1.4096105893452961,0.36207520961761475,13783040,1207959552,0.004290093667805195
3,16,1,16,prefill,bfloat16,32768,1,128,5.390591939290364,,2939553280,37748736,0.0016153258038684726
3,16,1,16,prefill,bfloat16,32768,1,1024,6.09396235148112,,3146515968,37748736,0.0016153258038684726
3,16,1,16,prefill,bfloat16,32768,1,8192,17.32421366373698,,4825548288,37748736,0.0016153258038684726
3,16,1,16,decode,bfloat16,131072,1,1,1.5530773798624675,0.1632799983024597,431616,150994944,0.004290093667805195
3,16,1,16,decode,bfloat16,131072,8,1,1.5824960072835286,0.33486878871917725,3445760,1207959552,0.004290093667805195
3,16,1,16,decode,bfloat16,131072,32,1,1.6053013801574707,1.068387222290039,13783040,4831838208,0.004290093667805195
3,16,1,16,prefill,bfloat16,131072,1,128,9.65554110209147,,11621762560,150994944,0.0016153258038684726
3,16,1,16,prefill,bfloat16,131072,1,1024,14.349984486897787,,11828725248,150994944,0.0016153258038684726
3,16,1,16,prefill,bfloat16,131072,1,8192,56.56335957845052,,13508806144,150994944,0.0016153258038684726
3,16,1,16,decode,bfloat16,524288,1,1,1.561781406402588,0.2392416000366211,431616,603979776,0.004290093667805195
3,16,1,16,decode,bfloat16,524288,8,1,1.4065066973368328,0.9697119712829589,3445760,4831838208,0.004290093667805195
3,16,1,16,decode,bfloat16,524288,32,1,4.057162602742513,4.36333122253418,13783040,19327352832,0.004290093667805195
3,16,1,16,prefill,bfloat16,524288,1,128,35.628308614095054,,16899147264,603979776,0.0016153258038684726
3,16,1,16,prefill,bfloat16,524288,1,1024,53.91334533691406,,17076192768,603979776,0.0016153258038684726
3,16,1,16,prefill,bfloat16,524288,1,8192,220.90277099609375,,18494785024,603979776,0.0016153258038684726
3,16,1,16,decode,bfloat16,1048576,1,1,1.5141760508219402,0.33788480758666994,431616,1207959552,0.004290093667805195
3,16,1,16,decode,bfloat16,1048576,8,1,2.201471964518229,2.0253183364868166,3445760,9663676416,0.004290093667805195
3,16,1,16,decode,bfloat16,1048576,32,1,7.921845118204753,9.37219009399414,13783040,38654705664,0.004290093667805195
3,16,1,16,prefill,bfloat16,1048576,1,128,69.9264424641927,,17503127040,1207959552,0.0016153258038684726
3,16,1,16,prefill,bfloat16,1048576,1,1024,108.54087320963542,,17680172544,1207959552,0.0016153258038684726
3,16,1,16,prefill,bfloat16,1048576,1,8192,435.2764078776042,,19098764800,1207959552,0.0016153258038684726
