rank,ep,ffn_dp,total_tokens_per_ep,sources,local_rows,eager_ms,graph_ms,expert_max_mean_load,dynamic_peak_bytes,weights,input_distribution
0,16,1,16,4,4,0.953979206085205,0.15353440046310424,21.0,234496,checkpoint layer 1,synthetic normal
0,16,1,16,8,2,1.0450991630554198,0.14774240255355836,24.499998092651367,117760,checkpoint layer 1,synthetic normal
0,16,1,16,16,1,0.9309776306152344,0.1464352011680603,24.499998092651367,59392,checkpoint layer 1,synthetic normal
0,16,1,128,4,32,0.8643327713012695,0.17293920516967773,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
0,16,1,128,8,16,0.9287103652954102,0.20115039348602295,16.1875,935936,checkpoint layer 1,synthetic normal
0,16,1,128,16,8,1.1472384452819824,0.20957279205322266,14.874999046325684,467968,checkpoint layer 1,synthetic normal
0,16,1,2048,4,512,0.8147151947021485,0.6810575962066651,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
0,16,1,2048,8,256,0.9162639617919922,0.5422383785247803,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
0,16,1,2048,16,128,0.9079999923706055,0.2905744075775146,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
0,16,1,8192,4,2048,2.41015682220459,2.3931552886962892,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
0,16,1,8192,8,1024,1.8840976715087892,1.8603935241699219,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
0,16,1,8192,16,512,0.9044095993041992,0.5959824085235595,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
0,16,1,32768,16,2048,2.2027088165283204,2.1472639083862304,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
0,8,2,16,4,4,0.9104399681091309,0.174945604801178,21.0,234496,checkpoint layer 1,synthetic normal
0,8,2,16,8,2,1.307587242126465,0.1713744044303894,24.499998092651367,117760,checkpoint layer 1,synthetic normal
0,8,2,128,4,32,0.8525967597961426,0.2588511943817139,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
0,8,2,128,8,16,1.0845359802246093,0.25191359519958495,16.1875,935936,checkpoint layer 1,synthetic normal
0,8,2,2048,4,512,0.9874431610107421,0.9591808319091797,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
0,8,2,2048,8,256,0.7485904216766357,0.4286623954772949,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
0,8,2,8192,4,2048,3.4951007843017576,3.4811344146728516,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
0,8,2,8192,8,1024,1.0287903785705566,1.098795223236084,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
0,4,4,16,4,4,0.7778272151947021,0.26500959396362306,21.0,234496,checkpoint layer 1,synthetic normal
0,4,4,128,4,32,0.8191184043884278,0.43192481994628906,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
0,4,4,2048,4,512,0.8954480171203614,0.8662591934204101,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
0,4,4,8192,4,2048,2.2451503753662108,2.1793615341186525,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
1,16,1,16,4,4,0.9476688385009766,0.15319199562072755,21.0,234496,checkpoint layer 1,synthetic normal
1,16,1,16,8,2,1.0455120086669922,0.14763360023498534,24.499998092651367,117760,checkpoint layer 1,synthetic normal
1,16,1,16,16,1,0.9300975799560547,0.14595839977264405,24.499998092651367,59392,checkpoint layer 1,synthetic normal
1,16,1,128,4,32,0.8689151763916015,0.1724560022354126,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
1,16,1,128,8,16,0.9237008094787598,0.20092480182647704,16.1875,935936,checkpoint layer 1,synthetic normal
1,16,1,128,16,8,1.1470352172851563,0.2092751979827881,14.874999046325684,467968,checkpoint layer 1,synthetic normal
1,16,1,2048,4,512,0.8141216278076172,0.6806111812591553,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
1,16,1,2048,8,256,0.9165663719177246,0.5418735980987549,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
1,16,1,2048,16,128,0.9076031684875489,0.28975520133972166,12.085936546325684,7487488,checkpoint layer 1,synthetic normal
1,16,1,8192,4,2048,2.4094831466674806,2.39215030670166,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
1,16,1,8192,8,1024,1.8836143493652344,1.8598735809326172,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
1,16,1,8192,16,512,0.9041135787963868,0.5953216075897216,12.523436546325684,29949952,checkpoint layer 1,synthetic normal
1,16,1,32768,16,2048,2.203246307373047,2.147297668457031,12.533690452575684,119799808,checkpoint layer 1,synthetic normal
1,8,2,16,4,4,0.9084256172180176,0.17451679706573486,21.0,234496,checkpoint layer 1,synthetic normal
1,8,2,16,8,2,1.307596778869629,0.17103840112686158,24.499998092651367,117760,checkpoint layer 1,synthetic normal
1,8,2,128,4,32,0.8528880119323731,0.2585952043533325,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
1,8,2,128,8,16,1.0840944290161132,0.2516671895980835,16.1875,935936,checkpoint layer 1,synthetic normal
1,8,2,2048,4,512,0.9872943878173828,0.9588335990905762,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
1,8,2,2048,8,256,0.7489471912384034,0.42833919525146485,12.113280296325684,14974976,checkpoint layer 1,synthetic normal
1,8,2,8192,4,2048,3.4942768096923826,3.480936050415039,12.872069358825684,119799808,checkpoint layer 1,synthetic normal
1,8,2,8192,8,1024,1.028275203704834,1.098534393310547,12.530272483825684,59899904,checkpoint layer 1,synthetic normal
1,4,4,16,4,4,0.7766032218933105,0.2648832082748413,21.0,234496,checkpoint layer 1,synthetic normal
1,4,4,128,4,32,0.8194527626037598,0.43182082176208497,14.437499046325684,1871872,checkpoint layer 1,synthetic normal
1,4,4,2048,4,512,0.8949472427368164,0.8662063598632812,12.386717796325684,29949952,checkpoint layer 1,synthetic normal
