card,tp,layer,cache_dtype,chunk_tokens,chunk_index,visible_context,marginal_attention_ms,marginal_wall_ms,cumulative_attention_ms,cumulative_wall_ms
GB200,1,3,fp8_e4m3,16384,1,16384,13.546079635620117,13.650314998812973,13.546079635620117,13.650314998812973
GB200,1,3,fp8_e4m3,16384,2,32768,28.659008026123047,28.69701001327485,42.205087661743164,42.34732501208782
GB200,1,3,fp8_e4m3,16384,3,49152,39.866783142089844,39.898433024063706,82.07187080383301,82.24575803615153
GB200,1,3,fp8_e4m3,16384,4,65536,50.05039978027344,50.08024093694985,132.12227058410645,132.32599897310138
GB200,1,3,fp8_e4m3,16384,5,81920,63.0261116027832,63.055804930627346,195.14838218688965,195.38180390372872
GB200,1,3,fp8_e4m3,16384,6,98304,76.19120025634766,76.23040699400008,271.3395824432373,271.6122108977288
GB200,1,3,fp8_e4m3,16384,7,114688,85.85286712646484,85.88373707607388,357.19244956970215,357.4959479738027
GB200,1,3,fp8_e4m3,16384,8,131072,98.71923065185547,98.74950803350657,455.9116802215576,456.24545600730926
GB200,1,3,fp8_e4m3,16384,9,147456,105.91792297363281,105.95685592852533,561.8296031951904,562.2023119358346
GB200,1,3,fp8_e4m3,16384,10,163840,121.33609771728516,121.36902497150004,683.1657009124756,683.5713369073346
GB200,1,3,fp8_e4m3,16384,11,180224,136.72259521484375,136.75347995013,819.8882961273193,820.3248168574646
GB200,1,3,fp8_e4m3,16384,12,196608,150.78204345703125,150.8134250761941,970.6703395843506,971.1382419336587
GB200,1,3,fp8_e4m3,16384,13,212992,157.96636962890625,157.99901401624084,1128.6367092132568,1129.1372559498996
GB200,1,3,fp8_e4m3,16384,14,229376,168.40982055664062,168.4402780374512,1297.0465297698975,1297.5775339873508
GB200,1,3,fp8_e4m3,16384,15,245760,179.17433166503906,179.20573300216347,1476.2208614349365,1476.7832669895142
GB200,1,3,fp8_e4m3,16384,16,262144,189.40684509277344,189.44168405141681,1665.62770652771,1666.224951040931
GB200,1,3,fp8_e4m3,16384,17,278528,200.6604461669922,200.6990750087425,1866.2881526947021,1866.9240260496736
GB200,1,3,fp8_e4m3,16384,18,294912,215.48130798339844,215.51261795684695,2081.7694606781006,2082.4366440065205
GB200,1,3,fp8_e4m3,16384,19,311296,231.5509490966797,231.58241796772927,2313.3204097747803,2314.01906197425
GB200,1,3,fp8_e4m3,16384,20,327680,238.94586181640625,238.97891701199114,2552.2662715911865,2552.997978986241
GB200,1,3,fp8_e4m3,16384,21,344064,252.82240295410156,252.8547040419653,2805.088674545288,2805.8526830282062
GB200,1,3,fp8_e4m3,16384,22,360448,267.0205078125,267.05647201742977,3072.109182357788,3072.909155045636
GB200,1,3,fp8_e4m3,16384,23,376832,271.889892578125,271.9290410168469,3343.999074935913,3344.838196062483
GB200,1,3,fp8_e4m3,16384,24,393216,285.1150817871094,285.14732397161424,3629.1141567230225,3629.985520034097
GB200,1,3,fp8_e4m3,16384,25,409600,297.4332275390625,297.4704389926046,3926.547384262085,3927.4559590267017
GB200,1,3,fp8_e4m3,16384,26,425984,307.350341796875,307.3836079565808,4233.89772605896,4234.839566983283
GB200,1,3,fp8_e4m3,16384,27,442368,319.18719482421875,319.22320497687906,4553.084920883179,4554.062771960162
GB200,1,3,fp8_e4m3,16384,28,458752,333.2848205566406,333.31675094086677,4886.369741439819,4887.379522901028
GB200,1,3,fp8_e4m3,16384,29,475136,345.2513427734375,345.2861709520221,5231.621084213257,5232.6656938530505
GB200,1,3,fp8_e4m3,16384,30,491520,357.17138671875,357.2032710071653,5588.792470932007,5589.868964860216
GB200,1,3,fp8_e4m3,16384,31,507904,372.1204528808594,372.15390405617654,5960.912923812866,5962.022868916392
GB200,1,3,fp8_e4m3,16384,32,524288,378.6640625,378.69840499479324,6339.576986312866,6340.721273911186
GB200,1,3,fp8_e4m3,16384,33,540672,385.6184997558594,385.6585529865697,6725.195486068726,6726.379826897755
GB200,1,3,fp8_e4m3,16384,34,557056,405.0992736816406,405.13849002309144,7130.294759750366,7131.518316920847
GB200,1,3,fp8_e4m3,16384,35,573440,413.2064514160156,413.2374209584668,7543.501211166382,7544.7557378793135
GB200,1,3,fp8_e4m3,16384,36,589824,426.653076171875,426.6869989223778,7970.154287338257,7971.442736801691
GB200,1,3,fp8_e4m3,16384,37,606208,437.3409729003906,437.3831090051681,8407.495260238647,8408.82584580686
GB200,1,3,fp8_e4m3,16384,38,622592,456.73876953125,456.78096695337445,8864.234029769897,8865.606812760234
GB200,1,3,fp8_e4m3,16384,39,638976,460.0516052246094,460.0871360162273,9324.285634994507,9325.693948776461
GB200,1,3,fp8_e4m3,16384,40,655360,478.9850769042969,479.01740903034806,9803.270711898804,9804.71135780681
GB200,1,3,fp8_e4m3,16384,41,671744,487.7052917480469,487.7450430067256,10290.97600364685,10292.456400813535
GB200,1,3,fp8_e4m3,16384,42,688128,497.0931396484375,497.1266590291634,10788.069143295288,10789.583059842698
GB200,1,3,fp8_e4m3,16384,43,704512,508.78717041015625,508.81803198717535,11296.856313705444,11298.401091829874
GB200,1,3,fp8_e4m3,16384,44,720896,526.3011474609375,526.3336510397494,11823.157461166382,11824.734742869623
GB200,1,3,fp8_e4m3,16384,45,737280,530.7445678710938,530.7772280648351,12353.902029037476,12355.511970934458
GB200,1,3,fp8_e4m3,16384,46,753664,546.0867919921875,546.1284019984305,12899.988821029663,12901.640372932889
GB200,1,3,fp8_e4m3,16384,47,770048,555.1157836914062,555.1498590502888,13455.10460472107,13456.790231983177
GB200,1,3,fp8_e4m3,16384,48,786432,569.8262329101562,569.8650979902595,14024.930837631226,14026.655329973437
GB200,1,3,fp8_e4m3,16384,49,802816,579.3006591796875,579.3431949568912,14604.231496810913,14605.998524930328
GB200,1,3,fp8_e4m3,16384,50,819200,591.8759765625,591.9121969491243,15196.107473373413,15197.910721879452
GB200,1,3,fp8_e4m3,16384,51,835584,606.7080688476562,606.7498050397262,15802.81554222107,15804.660526919179
GB200,1,3,fp8_e4m3,16384,52,851968,615.7963256835938,615.8296610228717,16418.611867904663,16420.49018794205
GB200,1,3,fp8_e4m3,16384,53,868352,626.784423828125,626.8247150583193,17045.396291732788,17047.31490300037
GB200,1,3,fp8_e4m3,16384,54,884736,639.0899658203125,639.1287579899654,17684.4862575531,17686.443660990335
GB200,1,3,fp8_e4m3,16384,55,901120,649.9418334960938,649.9819869641215,18334.428091049194,18336.425647954457
GB200,1,3,fp8_e4m3,16384,56,917504,666.5661010742188,666.5999110555276,19000.994192123413,19003.025559009984
GB200,1,3,fp8_e4m3,16384,57,933888,670.1874389648438,670.225729001686,19671.181631088257,19673.25128801167
GB200,1,3,fp8_e4m3,16384,58,950272,688.215087890625,688.253058004193,20359.396718978882,20361.504346015863
GB200,1,3,fp8_e4m3,16384,59,966656,704.2560424804688,704.289959045127,21063.65276145935,21065.79430506099
GB200,1,3,fp8_e4m3,16384,60,983040,709.484130859375,709.5163490157574,21773.136892318726,21775.310654076748
GB200,1,3,fp8_e4m3,16384,61,999424,722.7918701171875,722.8259589755908,22495.928762435913,22498.13661305234
GB200,1,3,fp8_e4m3,16384,62,1015808,730.6689453125,730.7046640198678,23226.597707748413,23228.841277072206
GB200,1,3,fp8_e4m3,16384,63,1032192,745.6397094726562,745.6779830390587,23972.23741722107,23974.519260111265
GB200,1,3,fp8_e4m3,16384,64,1048576,757.1489868164062,757.1896109730005,24729.386404037476,24731.708871084265
