card,tp,layer,cache_dtype,chunk_tokens,chunk_index,visible_context,marginal_attention_ms,marginal_wall_ms,cumulative_attention_ms,cumulative_wall_ms
GB200,1,3,fp8_e4m3,16384,1,16384,13.1014404296875,13.25968699529767,13.1014404296875,13.25968699529767
GB200,1,3,fp8_e4m3,16384,2,32768,3103.097900390625,3103.1506430590525,3116.1993408203125,3116.41033005435
GB200,1,3,fp8_e4m3,16384,3,49152,38.189632415771484,38.226227974519134,3154.388973236084,3154.6365580288693
GB200,1,3,fp8_e4m3,16384,4,65536,49.000545501708984,49.04399299994111,3203.389518737793,3203.6805510288104
GB200,1,3,fp8_e4m3,16384,5,81920,61.259742736816406,61.29811203572899,3264.6492614746094,3264.9786630645394
GB200,1,3,fp8_e4m3,16384,6,98304,72.62361907958984,72.66128610353917,3337.272880554199,3337.6399491680786
GB200,1,3,fp8_e4m3,16384,7,114688,85.40726470947266,85.44465200975537,3422.680145263672,3423.084601177834
GB200,1,3,fp8_e4m3,16384,8,131072,98.46880340576172,98.5095560317859,3521.1489486694336,3521.59415720962
GB200,1,3,fp8_e4m3,16384,9,147456,103.3015365600586,103.35230897180736,3624.450485229492,3624.9464661814272
GB200,1,3,fp8_e4m3,16384,10,163840,121.31257629394531,121.34982401039451,3745.7630615234375,3746.2962901918218
GB200,1,3,fp8_e4m3,16384,11,180224,136.1498260498047,136.19309396017343,3881.912887573242,3882.489384151995
GB200,1,3,fp8_e4m3,16384,12,196608,144.4502410888672,144.4927470292896,4026.3631286621094,4026.982131181285
GB200,1,3,fp8_e4m3,16384,13,212992,158.4286346435547,158.4667699644342,4184.791763305664,4185.448901145719
GB200,1,3,fp8_e4m3,16384,14,229376,166.34716796875,166.3829970639199,4351.138931274414,4351.831898209639
GB200,1,3,fp8_e4m3,16384,15,245760,179.54412841796875,179.58070000167936,4530.683059692383,4531.412598211318
GB200,1,3,fp8_e4m3,16384,16,262144,191.83148193359375,191.87081896234304,4722.514541625977,4723.283417173661
GB200,1,3,fp8_e4m3,16384,17,278528,195.56201171875,195.6116519868374,4918.076553344727,4918.895069160499
GB200,1,3,fp8_e4m3,16384,18,294912,214.3621063232422,214.40641290973872,5132.438659667969,5133.301482070237
GB200,1,3,fp8_e4m3,16384,19,311296,227.43927001953125,227.4802760221064,5359.8779296875,5360.781758092344
GB200,1,3,fp8_e4m3,16384,20,327680,234.64096069335938,234.68303098343313,5594.518890380859,5595.464789075777
GB200,1,3,fp8_e4m3,16384,21,344064,246.459716796875,246.4945890242234,5840.978607177734,5841.9593781
GB200,1,3,fp8_e4m3,16384,22,360448,263.6656494140625,263.70064495131373,6104.644256591797,6105.660023051314
GB200,1,3,fp8_e4m3,16384,23,376832,280.1733093261719,280.210091965273,6384.817565917969,6385.870115016587
GB200,1,3,fp8_e4m3,16384,24,393216,277.4317626953125,277.4751470424235,6662.249328613281,6663.345262059011
GB200,1,3,fp8_e4m3,16384,25,409600,290.8769226074219,290.9314410062507,6953.126251220703,6954.276703065261
GB200,1,3,fp8_e4m3,16384,26,425984,310.0243835449219,310.0768249714747,7263.150634765625,7264.353528036736
GB200,1,3,fp8_e4m3,16384,27,442368,317.39324951171875,317.4294689670205,7580.543884277344,7581.7829970037565
GB200,1,3,fp8_e4m3,16384,28,458752,330.68414306640625,330.7375069707632,7911.22802734375,7912.52050397452
GB200,1,3,fp8_e4m3,16384,29,475136,353.9652404785156,354.03950104955584,8265.193267822266,8266.560005024076
GB200,1,3,fp8_e4m3,16384,30,491520,347.62750244140625,347.6929700700566,8612.820770263672,8614.252975094132
GB200,1,3,fp8_e4m3,16384,31,507904,371.988525390625,372.03083804342896,8984.809295654297,8986.283813137561
GB200,1,3,fp8_e4m3,16384,32,524288,375.0730895996094,375.11121993884444,9359.882385253906,9361.395033076406
GB200,1,3,fp8_e4m3,16384,33,540672,384.3489074707031,384.393529035151,9744.23129272461,9745.788562111557
GB200,1,3,fp8_e4m3,16384,34,557056,402.4071960449219,402.4496970232576,10146.638488769531,10148.238259134814
GB200,1,3,fp8_e4m3,16384,35,573440,414.5506896972656,414.58371700719,10561.189178466797,10562.821976142004
GB200,1,3,fp8_e4m3,16384,36,589824,416.81512451171875,416.85485397465527,10978.004302978516,10979.67683011666
GB200,1,3,fp8_e4m3,16384,37,606208,437.0845031738281,437.12570902425796,11415.088806152344,11416.802539140917
GB200,1,3,fp8_e4m3,16384,38,622592,454.1923522949219,454.2360850609839,11869.281158447266,11871.038624201901
GB200,1,3,fp8_e4m3,16384,39,638976,453.6317443847656,453.67246598470956,12322.912902832031,12324.71109018661
GB200,1,3,fp8_e4m3,16384,40,655360,478.484130859375,478.53900608606637,12801.397033691406,12803.250096272677
GB200,1,3,fp8_e4m3,16384,41,671744,478.3337707519531,478.3898190362379,13279.73080444336,13281.639915308915
GB200,1,3,fp8_e4m3,16384,42,688128,492.6779479980469,492.7145930705592,13772.408752441406,13774.354508379474
GB200,1,3,fp8_e4m3,16384,43,704512,501.36993408203125,501.405986957252,14273.778686523438,14275.760495336726
GB200,1,3,fp8_e4m3,16384,44,720896,517.7329711914062,517.7676239982247,14791.511657714844,14793.528119334951
GB200,1,3,fp8_e4m3,16384,45,737280,529.5222778320312,529.557675938122,15321.033935546875,15323.085795273073
GB200,1,3,fp8_e4m3,16384,46,753664,545.6737670898438,545.7080819178373,15866.707702636719,15868.79387719091
GB200,1,3,fp8_e4m3,16384,47,770048,555.7894287109375,555.828851996921,16422.497131347656,16424.62272918783
GB200,1,3,fp8_e4m3,16384,48,786432,567.2310791015625,567.2698159469292,16989.72821044922,16991.89254513476
GB200,1,3,fp8_e4m3,16384,49,802816,572.356689453125,572.4023269722238,17562.084899902344,17564.294872106984
GB200,1,3,fp8_e4m3,16384,50,819200,591.02587890625,591.0608289996162,18153.110778808594,18155.3557011066
GB200,1,3,fp8_e4m3,16384,51,835584,596.4755249023438,596.5097579173744,18749.586303710938,18751.865459023975
GB200,1,3,fp8_e4m3,16384,52,851968,613.1503295898438,613.1864339113235,19362.73663330078,19365.0518929353
GB200,1,3,fp8_e4m3,16384,53,868352,623.9630126953125,623.9998129894957,19986.699645996094,19989.051705924794
GB200,1,3,fp8_e4m3,16384,54,884736,633.7605590820312,633.8004210265353,20620.460205078125,20622.85212695133
GB200,1,3,fp8_e4m3,16384,55,901120,654.133056640625,654.1770360199735,21274.59326171875,21277.029162971303
GB200,1,3,fp8_e4m3,16384,56,917504,659.95556640625,659.9964279448614,21934.548828125,21937.025590916164
GB200,1,3,fp8_e4m3,16384,57,933888,667.851318359375,667.9100270848721,22602.400146484375,22604.935618001036
GB200,1,3,fp8_e4m3,16384,58,950272,679.3755493164062,679.4140619458631,23281.77569580078,23284.3496799469
GB200,1,3,fp8_e4m3,16384,59,966656,695.0262451171875,695.0714410049841,23976.80194091797,23979.421120951883
GB200,1,3,fp8_e4m3,16384,60,983040,707.5587158203125,707.5976500054821,24684.36065673828,24687.018770957366
GB200,1,3,fp8_e4m3,16384,61,999424,719.0392456054688,719.0805319696665,25403.39990234375,25406.099302927032
GB200,1,3,fp8_e4m3,16384,62,1015808,732.1183471679688,732.1597980335355,26135.51824951172,26138.259100960568
GB200,1,3,fp8_e4m3,16384,63,1032192,746.3189086914062,746.3564720237628,26881.837158203125,26884.61557298433
GB200,1,3,fp8_e4m3,16384,64,1048576,754.8237915039062,754.8624229384586,27636.66094970703,27639.47799592279
