rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
0,0,2,1,2,all_reduce,28672,0.015073733528455098,0.01504746675491333,0.015083066622416179
0,0,2,1,2,reduce_scatter,28672,0.013394533594449361,0.013332800070444743,0.013409733772277832
0,0,2,1,2,all_gather,28672,0.013575067122777304,0.013501200079917907,0.013579066594441731
0,0,2,1,2,all_to_all,28672,0.014428933461507162,0.014416933059692383,0.014453333616256715
0,0,2,1,2,rs_ag_pair,28672,0.035137466589609784,0.03507346709569295,0.0352293332417806
0,0,2,8,8,all_reduce,114688,0.01533253292242686,0.015330800414085388,0.015332800149917603
0,0,2,8,8,reduce_scatter,114688,0.013628666599591574,0.013608133792877198,0.013666266202926635
0,0,2,8,8,all_gather,114688,0.01372599999109904,0.013718932867050171,0.013727733492851257
0,0,2,8,8,all_to_all,114688,0.015195733308792115,0.015194400151570638,0.015276267131169637
0,0,2,8,8,rs_ag_pair,114688,0.03553293148676554,0.03552306493123372,0.0356546680132548
0,0,2,128,128,all_reduce,1835008,0.021382532517115273,0.021359332402547202,0.021404133240381876
0,0,2,128,128,reduce_scatter,1835008,0.017584532499313354,0.0175819993019104,0.017590934038162233
0,0,2,128,128,all_gather,1835008,0.018455733855565388,0.018358133236567178,0.018478933970133463
0,0,2,128,128,all_to_all,1835008,0.021043999989827474,0.020953333377838133,0.021239332358042397
0,0,2,128,128,rs_ag_pair,1835008,0.04427293141682943,0.044268798828125,0.044428133964538576
0,0,2,1024,1024,all_reduce,14680064,0.05326186815897624,0.053252800305684404,0.05332573254903158
0,0,2,1024,1024,reduce_scatter,14680064,0.037302935123443605,0.03727986812591553,0.037380401293436685
0,0,2,1024,1024,all_gather,14680064,0.03833106756210327,0.038305731614430745,0.0384382685025533
0,0,2,1024,1024,all_to_all,14680064,0.043368132909139,0.040728533267974855,0.0443066676457723
0,0,2,1024,1024,rs_ag_pair,14680064,0.08475786844889323,0.08475026289621988,0.08477359612782796
0,0,2,8192,8192,all_reduce,117440512,0.23956559499104818,0.2394876003265381,0.23959879875183104
0,0,2,8192,8192,reduce_scatter,117440512,0.16469306945800782,0.16467080116271973,0.16474293073018392
0,0,2,8192,8192,all_gather,117440512,0.1521681308746338,0.15206947326660156,0.15254626274108887
0,0,2,8192,8192,all_to_all,117440512,0.19748613039652507,0.19746306737263997,0.19761865933736164
0,0,2,8192,8192,rs_ag_pair,117440512,0.32640291849772135,0.32626225153605143,0.32642374038696287
0,0,2,16384,16384,all_reduce,234881024,0.454747740427653,0.4546648025512695,0.4549349466959635
0,0,2,16384,16384,reduce_scatter,234881024,0.3036345481872559,0.30356626510620116,0.30365158716837565
0,0,2,16384,16384,all_gather,234881024,0.28164599736531576,0.28162307739257814,0.28179601033528645
0,0,2,16384,16384,all_to_all,234881024,0.36508652369181316,0.3648662567138672,0.36509920756022135
0,0,2,16384,16384,rs_ag_pair,234881024,0.5958328247070312,0.5956771850585938,0.5959010442097982
1,0,2,1,2,all_reduce,28672,0.015101333459218344,0.015096400181452434,0.01510920027891795
1,0,2,1,2,reduce_scatter,28672,0.01341000000635783,0.013360666235287984,0.013414532939592997
1,0,2,1,2,all_gather,28672,0.013628933827082317,0.013552932937939962,0.013653866449991862
1,0,2,1,2,all_to_all,28672,0.014476133386294048,0.014461599787076314,0.01448799967765808
1,0,2,1,2,rs_ag_pair,28672,0.03517719904581706,0.03510773181915283,0.035349865754445396
1,0,2,8,8,all_reduce,114688,0.015368666251500447,0.01535906692345937,0.015384533007939656
1,0,2,8,8,reduce_scatter,114688,0.01364133358001709,0.013638266921043396,0.013703067104021709
1,0,2,8,8,all_gather,114688,0.01377026637395223,0.013749866684277853,0.013779733578364055
1,0,2,8,8,all_to_all,114688,0.01524933377901713,0.015236666798591614,0.0153221329053243
1,0,2,8,8,rs_ag_pair,114688,0.035561732451121014,0.0355513334274292,0.03568880160649617
1,0,2,128,128,all_reduce,1835008,0.021388934055964152,0.021380800008773803,0.021396533648173014
1,0,2,128,128,reduce_scatter,1835008,0.01754666765530904,0.0175437331199646,0.01756280064582825
1,0,2,128,128,all_gather,1835008,0.01841199994087219,0.018356400728225707,0.018433332443237305
1,0,2,128,128,all_to_all,1835008,0.02103466590245565,0.02093600034713745,0.02121000091234843
1,0,2,128,128,rs_ag_pair,1835008,0.04427359898885091,0.044253333409627275,0.044431201616923016
1,0,2,1024,1024,all_reduce,14680064,0.05325640042622884,0.05321746667226156,0.053284267584482826
1,0,2,1024,1024,reduce_scatter,14680064,0.0372708002726237,0.03726253509521484,0.037345600128173825
1,0,2,1024,1024,all_gather,14680064,0.038305731614430745,0.038269468148549396,0.03838479916254679
1,0,2,1024,1024,all_to_all,14680064,0.043362534046173094,0.040674932797749835,0.04423640171686808
1,0,2,1024,1024,rs_ag_pair,14680064,0.08474506537119547,0.08472973505655924,0.08476599852244059
1,0,2,8192,8192,all_reduce,117440512,0.23947827021280924,0.2393895943959554,0.23948559761047364
1,0,2,8192,8192,reduce_scatter,117440512,0.1645978609720866,0.16454346974690756,0.16463813781738282
1,0,2,8192,8192,all_gather,117440512,0.1520293394724528,0.15202093124389648,0.15240813891092936
1,0,2,8192,8192,all_to_all,117440512,0.19746972719828287,0.1974411964416504,0.1975641409556071
1,0,2,8192,8192,rs_ag_pair,117440512,0.32635974884033203,0.32621320088704425,0.32637386322021483
1,0,2,16384,16384,all_reduce,234881024,0.4547130584716797,0.45459613800048826,0.4548757235209147
1,0,2,16384,16384,reduce_scatter,234881024,0.3036065419514974,0.3035569190979004,0.3036140124003092
1,0,2,16384,16384,all_gather,234881024,0.28164278666178383,0.28159360885620116,0.28179292678833007
1,0,2,16384,16384,all_to_all,234881024,0.3650789260864258,0.3648689270019531,0.36509691874186195
1,0,2,16384,16384,rs_ag_pair,234881024,0.5958262761433919,0.595687739054362,0.5958734512329101
