rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
0,1,2,prefill,1,1024,2.7736001014709473,,881442816,3440640
0,1,2,prefill,1,8192,14.405183792114258,,7048445952,3440640
0,1,2,prefill,1,16384,28.65667152404785,,14096449536,3440640
0,1,2,decode,1,1,0.7667840123176575,0.15187625885009765,246272,3440640
0,1,2,decode,8,1,0.8014400005340576,0.16288426717122395,1969664,27525120
0,1,2,decode,32,1,1.1290240287780762,0.206606928507487,8468480,110100480
0,1,2,decode,128,1,0.8766720294952393,0.3515712102254232,31580160,440401920
0,1,2,decode,256,1,0.8611519932746887,0.6383082707722981,63029248,880803840
0,2,1,prefill,1,1024,3.006943941116333,,440721408,1720320
0,2,1,prefill,1,8192,8.040063858032227,,3524222976,1720320
0,2,1,prefill,1,16384,15.410176277160645,,7048224768,1720320
0,2,1,decode,1,1,1.4143359661102295,0.10621973673502604,125440,1720320
0,2,1,decode,8,1,1.419103980064392,0.11221760114034017,1002496,13762560
0,2,1,decode,32,1,1.4290879964828491,0.13934507369995117,4074496,55050240
0,2,1,decode,128,1,1.094655990600586,0.2193280061086019,16101376,220200960
0,2,1,decode,256,1,1.0045440196990967,0.38628800710042316,32071680,440401920
1,1,2,prefill,1,1024,3.556704044342041,,881442816,3440640
1,1,2,prefill,1,8192,14.348416328430176,,7048445952,3440640
1,1,2,prefill,1,16384,28.59507179260254,,14096449536,3440640
1,1,2,decode,1,1,1.206015944480896,0.1516053358713786,246272,3440640
1,1,2,decode,8,1,1.1804800033569336,0.16883519490559895,1969664,27525120
1,1,2,decode,32,1,0.9043520092964172,0.20560213724772136,8468480,110100480
1,1,2,decode,128,1,0.8096640110015869,0.3511199951171875,31580160,440401920
1,1,2,decode,256,1,0.7383040189743042,0.637767473856608,63029248,880803840
1,2,1,prefill,1,1024,3.012608051300049,,440721408,1720320
1,2,1,prefill,1,8192,8.030048370361328,,3524222976,1720320
1,2,1,prefill,1,16384,15.398240089416504,,7048224768,1720320
1,2,1,decode,1,1,1.4136639833450317,0.10616106986999511,125440,1720320
1,2,1,decode,8,1,1.4120639562606812,0.11217172940572102,1002496,13762560
1,2,1,decode,32,1,1.436735987663269,0.13909974098205566,4074496,55050240
1,2,1,decode,128,1,1.0994559526443481,0.21920960744222004,16101376,220200960
1,2,1,decode,256,1,0.9992960095405579,0.3862581253051758,32071680,440401920
